PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Talla,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Acabado de la tapa del silenciador,Acabado del silenciador de escape,Acabado del tubo,Color,Composición,Homologación,Homologación de emisiones acústicas,Posición,Talla,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
8009805001,,6431740-020,PRO CIRCUIT,"PROCI PISTON TEE, BLK, M",Camiseta PRO CIRCUIT Piston,35.28,29.16,21.87,6431740-020,16,6109100010,0,1,"<p><strong>Descripción:</strong></p>
<p>La camiseta Piston incluye un gráfico personalizado de Pro Circuit en la parte de la espalda así como un pequeño pistón estampado en el lado izquierdo del pecho. Esta camiseta es la elección perfecta para completar el armario de cualquier aficionado al motocross.&nbsp; &nbsp;</p>
<p><strong>Características:</strong></p>
<ul>
<li>100% de algodón</li>
<li>Serigrafía con tintas de alta calidad</li>
</ul>","
Descripción:

La camiseta Piston incluye un gráfico personalizado de Pro Circuit en la parte de la espalda así como un pequeño pistón estampado en el lado izquierdo del pecho. Esta camiseta es la elección perfecta para completar el armario de cualquier aficionado al motocross.   

Características:

100% de algodón
Serigrafía con tintas de alta calidad
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,Negro,M,1920,153,287,223,30,,,,Negro,,,,,M,https://api.mybihr.com/medias/800Wx800H-8009805001-1.jpg?context=bWFzdGVyfHJvb3R8ODU2Nzl8aW1hZ2UvanBlZ3xhR1l5TDJoak1TODRNVEkzTWpVeU5EZ3dNREF6TUM4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TlRBd01TMHhMbXB3Wnd8NTQyNjc0OGJhNDkwNGVmZDdkZjdmMjBiYTY2MTMwMDA2NGNlOGE2YWFjMjU0NzJlZGU3M2FhZTlkN2FjYzAyMQ,https://api.mybihr.com/medias/800Wx800H-8009805001-2.jpg?context=bWFzdGVyfHJvb3R8MTA5MTUwfGltYWdlL2pwZWd8YUdVekwyaGxaUzg0TVRJM01qVXlOVEEyTWpFM05DODRNREJYZURnd01FaGZPREF3T1Rnd05UQXdNUzB5TG1wd1p3fDhlNzI2NDE5YmFjOWZmMmU2N2EwN2JmMWNmZjI3YzQwZmVjY2ExYWZmNTI1ZWRiNWEyODAzYzIwZDYwNjljOGM,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009805003,,6431740-040,PRO CIRCUIT,"PROCI PISTON TEE, BLK, XL",Camiseta PRO CIRCUIT Piston,35.28,29.16,21.87,6431740-040,2,6109100010,0,1,"<p><strong>Descripción:</strong></p>
<p>La camiseta Piston incluye un gráfico personalizado de Pro Circuit en la parte de la espalda así como un pequeño pistón estampado en el lado izquierdo del pecho. Esta camiseta es la elección perfecta para completar el armario de cualquier aficionado al motocross.&nbsp; &nbsp;</p>
<p><strong>Características:</strong></p>
<ul>
<li>100% de algodón</li>
<li>Serigrafía con tintas de alta calidad</li>
</ul>","
Descripción:

La camiseta Piston incluye un gráfico personalizado de Pro Circuit en la parte de la espalda así como un pequeño pistón estampado en el lado izquierdo del pecho. Esta camiseta es la elección perfecta para completar el armario de cualquier aficionado al motocross.   

Características:

100% de algodón
Serigrafía con tintas de alta calidad
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,Negro,XL,1356,179,300,226,20,,,,Negro,,,,,XL,https://api.mybihr.com/medias/800Wx800H-8009805003-1.jpg?context=bWFzdGVyfHJvb3R8ODU2Nzl8aW1hZ2UvanBlZ3xhRFJqTDJnNE5TODRNVEkzTWpVeU5qQTBOVEl4TkM4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TlRBd015MHhMbXB3Wnd8NzZlNzllZmYxMjJjZmZmZjg4Mjg5NDIwN2UyNGQxZWE2ZDhjODhhNTYwOGYzMjMwYzQ0Y2UzZWIzZGZiNWZlOA,https://api.mybihr.com/medias/800Wx800H-8009805003-2.jpg?context=bWFzdGVyfHJvb3R8MTA5MTUwfGltYWdlL2pwZWd8YUdKbUwyZzNOeTg0TVRJM01qVXlOalF6T0RRek1DODRNREJYZURnd01FaGZPREF3T1Rnd05UQXdNeTB5TG1wd1p3fGNhNjA4NWViNzNlMDFlYjZmNjM1MjA3MTdjY2EzNDVhMDc5NmY5ZTA1ZDU4YjZkM2QxNWQyZWU4Y2NiYmZhMWY,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009805002,,6431740-030,PRO CIRCUIT,"PROCI PISTON TEE, BLK, L",Camiseta PRO CIRCUIT Piston,35.28,29.16,21.87,6431740-030,2,6109100010,0,1,"<p><strong>Descripción:</strong></p>
<p>La camiseta Piston incluye un gráfico personalizado de Pro Circuit en la parte de la espalda así como un pequeño pistón estampado en el lado izquierdo del pecho. Esta camiseta es la elección perfecta para completar el armario de cualquier aficionado al motocross.&nbsp; &nbsp;</p>
<p><strong>Características:</strong></p>
<ul>
<li>100% de algodón</li>
<li>Serigrafía con tintas de alta calidad</li>
</ul>","
Descripción:

La camiseta Piston incluye un gráfico personalizado de Pro Circuit en la parte de la espalda así como un pequeño pistón estampado en el lado izquierdo del pecho. Esta camiseta es la elección perfecta para completar el armario de cualquier aficionado al motocross.   

Características:

100% de algodón
Serigrafía con tintas de alta calidad
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,Negro,L,1023,158,283,241,15,,,,Negro,,,,,L,https://api.mybihr.com/medias/800Wx800H-8009805002-1.jpg?context=bWFzdGVyfHJvb3R8ODU2Nzl8aW1hZ2UvanBlZ3xhRFkzTDJobE5DODRNVEkzTWpVeU5UTTRPVGcxTkM4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TlRBd01pMHhMbXB3Wnd8M2VmM2I2ZTIyMDc1NTE0Yzc2YzQ5NDg3ZGRkOTNhYjBlYTMxNmRmMmZmNDMyYWE2MTViMzE0NDU4OTliMGI4Yg,https://api.mybihr.com/medias/800Wx800H-8009805002-2.jpg?context=bWFzdGVyfHJvb3R8MTA5MTUwfGltYWdlL2pwZWd8YURnMkwyaGtZUzg0TVRJM01qVXlOVFkxTVRrNU9DODRNREJYZURnd01FaGZPREF3T1Rnd05UQXdNaTB5TG1wd1p3fGMzNjIyZTY2Y2M5YWNhOTBjYzBhNzAyMjAyZWE0MGIxNDdhYzVhYjYzMTliOTE3OTczYzNkNDE0M2FiZjBiZmQ,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009804002,,6411810-30,PRO CIRCUIT,"PROCI FLAG TEE, BLK, L",Camiseta PRO CIRCUIT Flag,35.28,29.16,21.87,6411810-30,2,6109100010,0,1,"<p>Esta camiseta reinterpreta el diseño de la bandera estadounidense con un camuflaje digital en tonos grises y el emblemático logotipo del globo terráqueo. Fabricada en algodón 100% hilado suave, esta camiseta de color negro incorpora serigrafía de alta calidad tanto en la parte delantera como en la trasera, utilizando tintas profesionales de primera gama. Ideal para lucir estilo en el paddock y en salidas urbanas.</p>
<p><strong>Características:</strong></p>
<ul>
<li>Confección en algodón 100% hilado suave</li>
<li>Gráficos serigrafiados con tintas de alta calidad</li>
</ul>","
Esta camiseta reinterpreta el diseño de la bandera estadounidense con un camuflaje digital en tonos grises y el emblemático logotipo del globo terráqueo. Fabricada en algodón 100% hilado suave, esta camiseta de color negro incorpora serigrafía de alta calidad tanto en la parte delantera como en la trasera, utilizando tintas profesionales de primera gama. Ideal para lucir estilo en el paddock y en salidas urbanas.

Características:

Confección en algodón 100% hilado suave
Gráficos serigrafiados con tintas de alta calidad
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,Negro,L,1689,162,290,233,25,,,,Negro,,,,,L,https://api.mybihr.com/medias/800Wx800H-8009804002-1.jpg?context=bWFzdGVyfHJvb3R8NDk4NDJ8aW1hZ2UvanBlZ3xhRGhpTDJnMU1TODRNVEkzTWpVeU16WXlNRE00TWk4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TkRBd01pMHhMbXB3Wnd8MWI1ZTgyZTQ5MTY0NTc4NDM4NDQxOTk1YjgwMTQ2ZTFmOGU2MmY4NjkzZTFjYWIxMDYyMWY0YmZkY2FjYzM4MQ,https://api.mybihr.com/medias/800Wx800H-8009804002-2.jpg?context=bWFzdGVyfHJvb3R8NTM4NTF8aW1hZ2UvanBlZ3xhREE1TDJnMU9TODRNVEkzTWpVeU16ZzRNalV5Tmk4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TkRBd01pMHlMbXB3Wnd8NzNkZmQxZWYyZmI1NmM5NWQ3M2U1YjYyY2I1ZDY4YTY3MWExZTU1YTNhMjhlOWM2NzgzOGRhOWE1OTUzZDM2NQ,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009804003,,6411810-40,PRO CIRCUIT,"PROCI FLAG TEE, BLK, XL",Camiseta PRO CIRCUIT Flag,35.28,29.16,21.87,6411810-40,5,6109100010,0,1,"<p>Esta camiseta reinterpreta el diseño de la bandera estadounidense con un camuflaje digital en tonos grises y el emblemático logotipo del globo terráqueo. Fabricada en algodón 100% hilado suave, esta camiseta de color negro incorpora serigrafía de alta calidad tanto en la parte delantera como en la trasera, utilizando tintas profesionales de primera gama. Ideal para lucir estilo en el paddock y en salidas urbanas.</p>
<p><strong>Características:</strong></p>
<ul>
<li>Confección en algodón 100% hilado suave</li>
<li>Gráficos serigrafiados con tintas de alta calidad</li>
</ul>","
Esta camiseta reinterpreta el diseño de la bandera estadounidense con un camuflaje digital en tonos grises y el emblemático logotipo del globo terráqueo. Fabricada en algodón 100% hilado suave, esta camiseta de color negro incorpora serigrafía de alta calidad tanto en la parte delantera como en la trasera, utilizando tintas profesionales de primera gama. Ideal para lucir estilo en el paddock y en salidas urbanas.

Características:

Confección en algodón 100% hilado suave
Gráficos serigrafiados con tintas de alta calidad
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,Negro,XL,1723,182,286,241,25,,,,Negro,,,,,XL,https://api.mybihr.com/medias/800Wx800H-8009804003-1.jpg?context=bWFzdGVyfHJvb3R8NDk4NDJ8aW1hZ2UvanBlZ3xhRGswTDJoaFpDODRNVEkzTWpVeU5ESXhNREl3Tmk4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TkRBd015MHhMbXB3Wnd8YWQ5YzJiOGI5Y2U0ZWM5ZDgwMTY4MWZiYjI0MWYwMTZkNTU3M2RlMzk0YmMxNGY2YTUwZjZjNTRiNmNlNzkzNw,https://api.mybihr.com/medias/800Wx800H-8009804003-2.jpg?context=bWFzdGVyfHJvb3R8NTM4NTF8aW1hZ2UvanBlZ3xhREV5TDJoaU5TODRNVEkzTWpVeU5EUTNNak0xTUM4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TkRBd015MHlMbXB3Wnd8ODkzM2U5MWQwM2U2M2FhYjQ4MTYyMmQxOTUyZDNiYmVlNmQxZDllMDg1OGI2MTU0MjA2NGZiMDc3ZjlkOTFkZQ,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009806003,,6511920-040,PRO CIRCUIT,"PROCI RACER ZIP HOODY, BLK, XL",Sudadera con capucha PRO CIRCUIT Racer,52.94,43.75,32.81,6511920-040,1,6110209100,0,1,"<p>Ponte cómodo en la grada o durante una cena informal con la sudadera Racer. Incorpora un nuevo gráfico de inspiración racing serigrafiado en el lado izquierdo del pecho y en la espalda, mientras que el logotipo de Pro Circuit se encuentra impreso en la manga derecha.</p><p><strong>Características:</strong></p>
<ul>
<li>70% algodón 30% poliéster</li>
<li>Serigrafía con tintas de alta calidad</li>
</ul>","
Ponte cómodo en la grada o durante una cena informal con la sudadera Racer. Incorpora un nuevo gráfico de inspiración racing serigrafiado en el lado izquierdo del pecho y en la espalda, mientras que el logotipo de Pro Circuit se encuentra impreso en la manga derecha.
Características:

70% algodón 30% poliéster
Serigrafía con tintas de alta calidad
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR HOODY,Negro,XL,4500,702,300,250,60,,,,Negro,,,,,XL,https://api.mybihr.com/medias/800Wx800H-8009806003-1.jpg?context=bWFzdGVyfHJvb3R8MTAzODU0fGltYWdlL2pwZWd8YUdJMEwyaGlZaTg0TVRJM01qVXpNamM1TlRReU1pODRNREJYZURnd01FaGZPREF3T1Rnd05qQXdNeTB4TG1wd1p3fGIzOWI0NTczZGY3MDk5ODM3YTMyYThiNTI0MDY3Mjg2MjJjZGU1MTFhOGZiOTk1NzUzYWExNmMxNmMxYmIxZmM,https://api.mybihr.com/medias/800Wx800H-8009806003-2.jpg?context=bWFzdGVyfHJvb3R8OTczMzd8aW1hZ2UvanBlZ3xhREV5TDJobFppODRNVEkzTWpVek16RTRPRFl6T0M4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TmpBd015MHlMbXB3Wnd8ZWQ1YzgyZDQ1ZDc4ZWRhMWU2OGE0NzIwYjUwNzVjYzE1N2QwMjJiMjAxNTdjZTU3NTllNGMyNTI2MTQ1MzMxYw,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009806001,,6511920-020,PRO CIRCUIT,"PROCI RACER ZIP HOODY, BLK, M",Sudadera con capucha PRO CIRCUIT Racer,52.94,43.75,32.81,6511920-020,1,6110209100,0,1,"<p>Ponte cómodo en la grada o durante una cena informal con la sudadera Racer. Incorpora un nuevo gráfico de inspiración racing serigrafiado en el lado izquierdo del pecho y en la espalda, mientras que el logotipo de Pro Circuit se encuentra impreso en la manga derecha.</p><p><strong>Características:</strong></p>
<ul>
<li>70% algodón 30% poliéster</li>
<li>Serigrafía con tintas de alta calidad</li>
</ul>","
Ponte cómodo en la grada o durante una cena informal con la sudadera Racer. Incorpora un nuevo gráfico de inspiración racing serigrafiado en el lado izquierdo del pecho y en la espalda, mientras que el logotipo de Pro Circuit se encuentra impreso en la manga derecha.
Características:

70% algodón 30% poliéster
Serigrafía con tintas de alta calidad
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR HOODY,Negro,M,4140,591,300,230,60,,,,Negro,,,,,L,https://api.mybihr.com/medias/800Wx800H-8009806001-1.jpg?context=bWFzdGVyfHJvb3R8MTAzODU0fGltYWdlL2pwZWd8YURCbUwyZzBNQzg0TVRJM01qVXpNVEl5TWpVMU9DODRNREJYZURnd01FaGZPREF3T1Rnd05qQXdNUzB4TG1wd1p3fDMzNDEwNDg2YjkzZTNmNzY3YjI0MTBiN2ZlOTlhM2M5YjExZjExOTNkMThhNzJlN2I3YmY0YTAxNzUxOGUwNzI,https://api.mybihr.com/medias/800Wx800H-8009806001-2.jpg?context=bWFzdGVyfHJvb3R8OTczMzd8aW1hZ2UvanBlZ3xhRGxrTDJnMFpDODRNVEkzTWpVek1UWXhOVGMzTkM4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TmpBd01TMHlMbXB3Wnd8NTJjZGE4MWUxMWIxZTMyOWVjMzcyNmM1MWNhNzY3MDBiN2EyZjg4NmEzMTdhNmQ1MTI0YTE2NmE1NTZmNWE0NQ,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009806002,,6511920-030,PRO CIRCUIT,"PROCI RACER ZIP HOODY, BLK, L",Sudadera con capucha PRO CIRCUIT Racer,52.94,43.75,32.81,6511920-030,2,6110209100,0,1,"<p>Ponte cómodo en la grada o durante una cena informal con la sudadera Racer. Incorpora un nuevo gráfico de inspiración racing serigrafiado en el lado izquierdo del pecho y en la espalda, mientras que el logotipo de Pro Circuit se encuentra impreso en la manga derecha.</p><p><strong>Características:</strong></p>
<ul>
<li>70% algodón 30% poliéster</li>
<li>Serigrafía con tintas de alta calidad</li>
</ul>","
Ponte cómodo en la grada o durante una cena informal con la sudadera Racer. Incorpora un nuevo gráfico de inspiración racing serigrafiado en el lado izquierdo del pecho y en la espalda, mientras que el logotipo de Pro Circuit se encuentra impreso en la manga derecha.
Características:

70% algodón 30% poliéster
Serigrafía con tintas de alta calidad
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR HOODY,Negro,L,2250,629,300,250,30,,,,Negro,,,,,M,https://api.mybihr.com/medias/800Wx800H-8009806002-1.jpg?context=bWFzdGVyfHJvb3R8MTAzODU0fGltYWdlL2pwZWd8YUdRMUwyaGhNaTg0TVRJM01qVXpNakF3T0RrNU1DODRNREJYZURnd01FaGZPREF3T1Rnd05qQXdNaTB4TG1wd1p3fGU2ZTQ3YmIwNzI5ODA1OTI2Y2UzMjZjOWM0YTMzNDJmYTc2ZDJjMDFmZGQ3NmJjZjBjMWI4ZTA4NTM4YzI4ZTE,https://api.mybihr.com/medias/800Wx800H-8009806002-2.jpg?context=bWFzdGVyfHJvb3R8OTczMzd8aW1hZ2UvanBlZ3xhRGMzTDJoaU1DODRNVEkzTWpVek1qUXdNakl3Tmk4NE1EQlhlRGd3TUVoZk9EQXdPVGd3TmpBd01pMHlMbXB3Wnd8MjNmNWVlNGZjNTdkYjUwYTQwZDI4ZWYwMWVhZGM5MjZmMTA1NWE2YWI4NGMyMmNkYjRmMGI4YjliMDhiODgxNA,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009811,,68100,PRO CIRCUIT,"PROCI BEANIE CARCOAL, CAC, OSA",Gorro PRO CIRCUIT Charcoal,35.30,29.17,23.34,68100,20,6505003000,0,1,"<p>Charcoal Beanie: Elegante y cálido con rayas grises, logo de Pro Circuit y un pompón bicolor—perfecto para los días fríos en la pista.</p>","
Charcoal Beanie: Elegante y cálido con rayas grises, logo de Pro Circuit y un pompón bicolor—perfecto para los días fríos en la pista.",RIDER GEAR,SPORTSWEAR,SPORTSWEAR HEAD,,,760,73,200,190,20,,,,Gris & Negro,,,,,Talla única adulto,https://api.mybihr.com/medias/800Wx800H-8009811-1.jpg?context=bWFzdGVyfHJvb3R8NDQ4MDN8aW1hZ2UvanBlZ3xhRFF3TDJoaU1TODRNVEU0TkRZNE16azFNREV4TUM4NE1EQlhlRGd3TUVoZk9EQXdPVGd4TVMweExtcHdad3xjZjI4Zjc3MTQzMTc0ODg2ZTVmMjYxOTFmNWJiMWE5Yzg1Y2NiNzYyNjk0ZDQzMjY5OGYyNjM5NDJhYzQ2NzM2,,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009809,,70804914,PRO CIRCUIT,"PROCI HAT BLACK NEON, BLK, OSA",Gorra PRO CIRCUIT Snapback - Negro/Verde Neón,42.29,34.95,27.96,70804914,17,6505003000,0,1,"<p>&iquest;Buscas un buen accesorio? Esta gorra combina tejidos en contraste negro y verde ne&oacute;n, adem&aacute;s de un logotipo al estilo de los equipos de baseball de PC personalizado en la parte delantera y un cierre de pl&aacute;stico ajustable en la parte trasera para un ajuste perfecto.</p>","
¿Buscas un buen accesorio? Esta gorra combina tejidos en contraste negro y verde neón, además de un logotipo al estilo de los equipos de baseball de PC personalizado en la parte delantera y un cierre de plástico ajustable en la parte trasera para un ajuste perfecto.",RIDER GEAR,SPORTSWEAR,SPORTSWEAR HEAD,,,5754,107,227,195,130,,,,Negro & Verde,,,,,Talla única adulto,https://api.mybihr.com/medias/800Wx800H-8009809-1.jpg?context=bWFzdGVyfHJvb3R8MTEzMjYyfGltYWdlL2pwZWd8YUdVM0wyZzNNUzg0TVRJM01qVTBNamd5TWpRek1DODRNREJYZURnd01FaGZPREF3T1Rnd09TMHhMbXB3Wnd8YjZmZjIzZDQ5MWM3NjA2YzViN2E4NDRiN2Y0MWM0ODAwNzIyNGNiZDgwNmU3YjdmOThmODAyNmZiODQ0MDgyNg,https://api.mybihr.com/medias/800Wx800H-8009809-2.jpg?context=bWFzdGVyfHJvb3R8ODEyMDJ8aW1hZ2UvanBlZ3xhR0ZsTDJneFl5ODRNVEkzTWpVME16SXhOVFkwTmk4NE1EQlhlRGd3TUVoZk9EQXdPVGd3T1MweUxtcHdad3w4OTFlYmUwOGZiNjhiYjM0MTk2ZjBjN2M2MDZjNmEyNzhhNjZkYjAzMTEzMGE5MWMyNzNkMDM2M2JiNTMxYzM0,https://api.mybihr.com/medias/800Wx800H-8009809-3.jpg?context=bWFzdGVyfHJvb3R8OTIxNjl8aW1hZ2UvanBlZ3xhREl4TDJnd1ppODRNVEkzTWpVME16WXdPRGcyTWk4NE1EQlhlRGd3TUVoZk9EQXdPVGd3T1MwekxtcHdad3xjOGIxM2ZiY2FmMzQxOGQyNGM1Yzk1MGY1MzA3MDZkNDlmNDM1ODc4Yjk3YmYzYWJhZDkyN2JiYjNhMWNlOTU5,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009810,,70804920,PRO CIRCUIT,"PROCI HAT PC SKY CARDINA, BLK, OSA",Gorra PRO CIRCUIT Snapback - Sky/Negro/Cardina,42.29,34.95,27.96,,18,6505003000,0,1,"<p>&iquest;Buscas un buen accesorio? Esta gorra combina tejidos en contraste negro, rojo y azul celeste, adem&aacute;s de un logotipo al estilo de los equipos de baseball de PC personalizado en la parte delantera y un cierre de pl&aacute;stico ajustable en la parte trasera para un ajuste perfecto.</p>","
¿Buscas un buen accesorio? Esta gorra combina tejidos en contraste negro, rojo y azul celeste, además de un logotipo al estilo de los equipos de baseball de PC personalizado en la parte delantera y un cierre de plástico ajustable en la parte trasera para un ajuste perfecto.",RIDER GEAR,SPORTSWEAR,SPORTSWEAR HEAD,,,5754,107,227,195,130,,,,Azul & Negro & Rojo,,,,,Talla única adulto,https://api.mybihr.com/medias/800Wx800H-8009810-1.jpg?context=bWFzdGVyfHJvb3R8MTA5ODA0fGltYWdlL2pwZWd8YURKaUwyZzBOaTg0TVRJM01qVTBOREF3TWpBM09DODRNREJYZURnd01FaGZPREF3T1RneE1DMHhMbXB3Wnd8NTM5NzMyZDA3YTgwOWUyMmYyOTk3YjJjNTgxMjA5NDJiMDY3Zjg3NTY5Y2RiZDRlNjk5NWM2MWFlNThiZmU5NQ,https://api.mybihr.com/medias/800Wx800H-8009810-2.jpg?context=bWFzdGVyfHJvb3R8OTYzOTl8aW1hZ2UvanBlZ3xhRFk1TDJnMU1TODRNVEkzTWpVME5ETTVOVEk1TkM4NE1EQlhlRGd3TUVoZk9EQXdPVGd4TUMweUxtcHdad3w2YjBhNmI3NmIyMjYyNmQ3NTIzYzhiMjUzMTVjNzJjZjY0YWFhMWJjZDA1OWI1OWE5YWM0ZTg2Y2NiYTFiZWVi,https://api.mybihr.com/medias/800Wx800H-8009810-3.jpg?context=bWFzdGVyfHJvb3R8MTIzNjA1fGltYWdlL2pwZWd8YUdZMkwyZzFaUzg0TVRJM01qVTBORGM0T0RVeE1DODRNREJYZURnd01FaGZPREF3T1RneE1DMHpMbXB3Wnd8N2ZjZTU1YzJjMzkwNzhhNDQ2NzM3Y2M2ZWJlNzc5YWRiY2RlZGYzYmM5NjA0M2FiNzFhMzE5NGJiYzJiYmQxZQ,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009807,,6714105-0200,PRO CIRCUIT,"PROCI STRAW HAT, OSA",Sombrero de paja PRO CIRCUIT,30.24,24.99,19.99,8009807,18,6505003000,0,1,"<p>Estar en pista bajo el sol puede ser brutal, as&iacute; que aseg&uacute;rate de tener a la mano tu <strong>sombrero de paja Pro Circuit</strong>. Este sombrero cuenta con una ala ancha para proteger del sol, un parche Pro Circuit tejido en la parte delantera y un cord&oacute;n ajustable. &iexcl;Sombra, frescura y actitud hasta en los d&iacute;as m&aacute;s calurosos!</p>","
Estar en pista bajo el sol puede ser brutal, así que asegúrate de tener a la mano tu sombrero de paja Pro Circuit. Este sombrero cuenta con una ala ancha para proteger del sol, un parche Pro Circuit tejido en la parte delantera y un cordón ajustable. ¡Sombra, frescura y actitud hasta en los días más calurosos!",RIDER GEAR,SPORTSWEAR,SPORTSWEAR HEAD,,,28123,100,409,382,180,,,,,,,,,Talla única adulto,https://api.mybihr.com/medias/800Wx800H-8009807-1.jpg?context=bWFzdGVyfHJvb3R8MTgxMzgwfGltYWdlL2pwZWd8YURZM0wyZ3daQzg0TVRJM01qVXlOelE0TnpBd05pODRNREJYZURnd01FaGZPREF3T1Rnd055MHhMbXB3Wnd8ZmQxOGExNThlZmM0ZWViNDI2YzVkN2JjNTMyZjVlMjVmNzFjMTkxNDVjNDA2OWZjN2U5ZDk5YWFiMjA5M2E4YQ,,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
8009808,,6720105,PRO CIRCUIT,"PROCI HAT CHECKED GLOBE, OLV, OSA",Gorra PRO CIRCUIT Check Globe,39.33,32.50,26.00,6720105,16,6505003000,0,1,<p>La gorra <strong>Richardson</strong> viene con un parche personalizado con un globo terr&aacute;queo a cuadros cosido en la parte delantera.&nbsp;</p>,"
La gorra Richardson viene con un parche personalizado con un globo terráqueo a cuadros cosido en la parte delantera. ",RIDER GEAR,SPORTSWEAR,SPORTSWEAR HEAD,,,4598,93,220,190,110,,,,Verde,,,,,Talla única adulto,https://api.mybihr.com/medias/800Wx800H-8009808-1.jpg?context=bWFzdGVyfHJvb3R8MjI4OTI2fGltYWdlL2pwZWd8YURnM0wyZzNaaTg0TVRJM01qVTBNalF5T1RJeE5DODRNREJYZURnd01FaGZPREF3T1Rnd09DMHhMbXB3Wnd8NTllMWFhOWRhMjhiNzc4MWY2NDE2YWRhNmY3NDU4ODgyMTQ1ZmU5NzZjZTA5Nzg3ZGRmODdiZDAwMjhmMDJkMA,,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
1061588,60300377,DK2085T,PRO CIRCUIT,PROCI DECALS KIT MONSTER ENERGY,Kit de adhesivos Pro Circuit Monster Energy KX85,187.44,154.91,108.44,87-14-99-90-89,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>Customize your motorbike in the colours and design of the Team Monster Energy 2020 with PRO CIRCUIT graphic kits.<a id=""_DX_FRAG_ENDFRAGMENT""></a><a id=""_dx_frag_StartFragment""></a>Each kit includes high-quality digitally printed graphic decals for<a id=""_dx_frag_EndFragment""></a> your bike.</p></body> </html>","       Customize your motorbike in the colours and design of the Team Monster Energy 2020 with PRO CIRCUIT graphic kits.Each kit includes high-quality digitally printed graphic decals for your bike. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,13076,414,736,423,42,,,,,,,,,,https://api.mybihr.com/medias/1061588-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTg2MTY4fGltYWdlL2pwZWd8YURRMEwyaG1ZUzg0T1Rjek16VTRNems1TlRFNEx6RXdOakUxT0RndE1WODRNREJYZURnd01FZ3wwZjBkOGFhODk0YWE1MDhmMDJhNTAxMDRkMWU0ODI2ZGRlZGNlNzIzYzEwZDQ4NDJmMDNhYjNhZTkyNmY1ZWQy,,,https://static.bihr.pro/eBihr/Pictures/PRO_CIRCUIT-pictures.zip,Spain Warehouse (Parts)
