PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Longitud (mm),Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1091623,,84V03,TECNOSEL,TECNO STICKERS KAWASAKI OEM 00,Kit adhesivos completo TECNOSEL Team OEM Kawasaki 2000,155.36,128.40,83.46,8057912028402,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender. </p><p> </p><p>The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments. </p><p> </p><p>Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.</p><p> </p><ul> <li>Quality ''''made in Italy''''</li><li>Precise finishings and shapes</li><li>Designed to ease the assembling</li><li>Captivating design</li><li>Original Replica TECNOSEL</li></ul> </body> </html>","       The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender.  The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments.  Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.  Quality ''''made in Italy''''Precise finishings and shapesDesigned to ease the assemblingCaptivating designOriginal Replica TECNOSEL  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,8993,748,601,348,43,,,https://api.mybihr.com/medias/1091623-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ5MjQyfGltYWdlL2pwZWd8YUROaUwyZzRNQzg0T1RFek56WTRORFE0TURNd0x6RXdPVEUyTWpNdE1WODRNREJYZURnd01FZ3xjODk4YzgyNWE4N2MwMjg4ZDE5MjQ1YWUxYWZiMzc3YmZkZTUwZjQyOTQzMTM3OTllMjIxOTM0ZTcyZjcwMzM3,https://api.mybihr.com/medias/1091623-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ0ODB8aW1hZ2UvanBlZ3xhRFppTDJnM09TODRPVEV6TnpZNE5qUTBOak00THpFd09URTJNak10TWw4NE1EQlhlRGd3TUVnfDVlZGMzZWFjZTE4MmM1OTE1MDRhOGJiNjg4MzQ2MDFhNzRiZDcyYzMwNTMyZWZhMGEyZGVlMzAxZmEzMTNiMmU,https://api.mybihr.com/medias/1091623-3-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc0NDY0fGltYWdlL2pwZWd8YURsaUwyZzNNaTg0T1RFek56WTRPRFF4TWpRMkx6RXdPVEUyTWpNdE0xODRNREJYZURnd01FZ3w1NDc4Y2VmYjRiMmMwODZiYWM3MWU2ZTdkYjE2OTNjNGM1YmY5NTY4YzUwMWZkNzRkNWU5MzUyMDQzNWIzY2Y5,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091620,,84V00,TECNOSEL,TECNO STICKERS KAWASAKI TEAM 93,Kit adhesivos completo TECNOSEL Team Kawasaki 1993,155.36,128.40,83.46,60300601,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender. </p><p> </p><p>The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments. </p><p> </p><p>Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.</p><p> </p><ul> <li>Quality ''''made in Italy''''</li><li>Precise finishings and shapes</li><li>Designed to ease the assembling</li><li>Captivating design</li><li>Original Replica TECNOSEL</li></ul> </body> </html>","       The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender.  The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments.  Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.  Quality ''''made in Italy''''Precise finishings and shapesDesigned to ease the assemblingCaptivating designOriginal Replica TECNOSEL  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,2800,277,500,400,14,,,https://api.mybihr.com/medias/1091620-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTcwMjUyfGltYWdlL2pwZWd8YURObUwyaGpaUzg0T1RVMk5EUTVORGc0T1RJMkx6RXdPVEUyTWpBdE1WODRNREJYZURnd01FZ3w4NGI3MGE3ZmUzMGFkM2MwOTFkNzlkMDI1MDAxZDhkNTEyZGRlYjVjM2M5NDA1MjhmYmViZDdjOGVjNjU5YTQy,https://api.mybihr.com/medias/1091620-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDYyODR8aW1hZ2UvanBlZ3xhRFpsTDJoak55ODRPVFUyTkRRNU5qZzFOVE0wTHpFd09URTJNakF0TWw4NE1EQlhlRGd3TUVnfGVmNDBkZmY4YzRiNWExOTUwNjMwOGJhMzJjYWEzMTZjOTEyYzEzMGNjNzdhODZkY2JjODc1NGNiNjIxNmUwOWM,https://api.mybihr.com/medias/1091620-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzIzOTk3fGltYWdlL2pwZWd8YURsbEwyaGpNQzg0T1RVMk5EUTVPRGd5TVRReUx6RXdPVEUyTWpBdE0xODRNREJYZURnd01FZ3xiM2Y3YjNhOTUxMTdjNDM5N2MxMmY5MzU2Y2UzZmIxMGE4MTE1MTY4NjQwMDY4NThkZGUzZjgwZmU5MDgyYmE0,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091621,,84V01,TECNOSEL,TECNO STICKERS KAWASAKI TEAM 96,Kit adhesivos completo TECNOSEL Team Kawasaki 1996,155.36,128.40,83.46,60300602,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender. </p><p> </p><p>The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments. </p><p> </p><p>Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.</p><p> </p><ul> <li>Quality ''''made in Italy''''</li><li>Precise finishings and shapes</li><li>Designed to ease the assembling</li><li>Captivating design</li><li>Original Replica TECNOSEL</li></ul> </body> </html>","       The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender.  The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments.  Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.  Quality ''''made in Italy''''Precise finishings and shapesDesigned to ease the assemblingCaptivating designOriginal Replica TECNOSEL  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,1,1,10,10,10,,,https://api.mybihr.com/medias/1091621-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTg5MjU5fGltYWdlL2pwZWd8YURjMEwyZ3lNQzg0T1RRM016UXlNelEwTWpJeUx6RXdPVEUyTWpFdE1WODRNREJYZURnd01FZ3wwZTA4NTE2NDFiZmE0ZjY1YTc5NmIxOTI0OGUwZjNmMDFkOTI3NTNiM2I4ZDYxZDcwN2YwNWMwOTlmOGE1ZGM4,https://api.mybihr.com/medias/1091621-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzMxOTUyfGltYWdlL2pwZWd8YUdFMEwyZ3hPUzg0T1RRM016UXlOVFF3T0RNd0x6RXdPVEUyTWpFdE1sODRNREJYZURnd01FZ3xjNGY1YTVlMzlmOTk3ZDhkN2Q1MThjYzE0MmJhNTg3ZmI2NDkwYjZlYWVmZTQ4MjRkZDVhYjA2ZWIxYzE4NTM5,https://api.mybihr.com/medias/1091621-3-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg2MjF8aW1hZ2UvanBlZ3xhR1UyTDJneE1pODRPVFEzTXpReU56TTNORE00THpFd09URTJNakV0TTE4NE1EQlhlRGd3TUVnfGQzYzgyYjEwZjg0NTBkNDNmNDYzNDllNzBhYWQwZjRhNGVlNDE2MWU1MzdlOThlMzA5MDA3ZTVkNDNmZDg5MjY,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091622,,84V02,TECNOSEL,TECNO STICKERS KAWASAKI TEAM 98,Kit adhesivos completo TECNOSEL Team Kawasaki 1998,155.36,128.40,83.46,60300603,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender. </p><p> </p><p>The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments. </p><p> </p><p>Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.</p><p> </p><ul> <li>Quality ''''made in Italy''''</li><li>Precise finishings and shapes</li><li>Designed to ease the assembling</li><li>Captivating design</li><li>Original Replica TECNOSEL</li></ul> </body> </html>","       The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender.  The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments.  Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.  Quality ''''made in Italy''''Precise finishings and shapesDesigned to ease the assemblingCaptivating designOriginal Replica TECNOSEL  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,8835,908,352,502,50,,,https://api.mybihr.com/medias/1091622-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTkxNjIyfGltYWdlL2pwZWd8YURGaUwyZ3pNaTg0T1RJNU5UYzNORFkzT1RNMEx6RXdPVEUyTWpJdE1WODRNREJYZURnd01FZ3w5OWExYzJkYTQ0ODM2YjRkZmVmYWUyYzMxNGJkOGE3OTk5YjE2MzEyMDgyNGFhYzdmYjU3ZjVkYTVjZWFmNzdi,https://api.mybihr.com/medias/1091622-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzMwOTQ5fGltYWdlL2pwZWd8YUdWaUwyZ3pPQzg0T1RJNU5UYzNOalkwTlRReUx6RXdPVEUyTWpJdE1sODRNREJYZURnd01FZ3w5NjZmYTc0YzFlNjY3YmVkMDgxYTFjOTkyMjdmNzkwMTM4NDAwOGNkMGI4YzJkYjQ1YTY1ZWNlNDNjZTIyOTcz,https://api.mybihr.com/medias/1091622-3-800Wx800H?context=bWFzdGVyfHJvb3R8NTc3MzV8aW1hZ2UvanBlZ3xhR0pqTDJnelppODRPVEk1TlRjM09EWXhNVFV3THpFd09URTJNakl0TTE4NE1EQlhlRGd3TUVnfGYyN2FlMTY0MjkzMjZmMjZlYjFhMWYyNWE1NWFiNWQyMmU3OGQzMGQ3MTlkZWNhOGJiNDM2ZWY1ZTc0NDdkMGI,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091624,,87V00,TECNOSEL,TECNO STICKERS KIT,Kit adhesivos TECNOSEL Replica Team Husaberg 1990,132.99,109.91,71.44,60300682,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender. </p><p> </p><p>The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments.</p><p> </p></body> </html>","       The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender.  The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments.  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,5189,787,504,355,29,,,https://api.mybihr.com/medias/800Wx800H-1091624-1.jpg?context=bWFzdGVyfHJvb3R8NjA0Mzd8aW1hZ2UvanBlZ3xhR1ppTDJoaU15ODJNVGd6TlRreU9UTTFOREkzTUM4NE1EQlhlRGd3TUVoZk1UQTVNVFl5TkMweExtcHdad3xmMWRhMTk1MjhjODQ2ODNjOWRkZTk3MWZlOTBlYjNkMjlkODc0MzAzZWQ0MTZkMWI1ZTVlNDg4MGI5M2NhOTYw,https://api.mybihr.com/medias/800Wx800H-1091624-2.jpg?context=bWFzdGVyfHJvb3R8MzI1MDV8aW1hZ2UvanBlZ3xhRFpsTDJoaE5pODJNVGd6TlRreU9UYzBOelE0Tmk4NE1EQlhlRGd3TUVoZk1UQTVNVFl5TkMweUxtcHdad3xkMWJmOTM0OWRiMjc2ZjBmNjc5NDJhYzY0MzNjNWE3OWUxNjNlOGRmZmUwODQ2MzRkMWNlZjVmZmRjNDMyNDFj,https://api.mybihr.com/medias/800Wx800H-1091624-3.jpg?context=bWFzdGVyfHJvb3R8MTE3NzZ8aW1hZ2UvanBlZ3xhRFJsTDJoaVpTODJNVGcwTXpNd01qazBNRGN3TWk4NE1EQlhlRGd3TUVoZk1UQTVNVFl5TkMwekxtcHdad3xlZDc4YjU0MjY2MmRmZDZiODI0NmM4ZmFiMmFiZTZjODc5MjhhODEzMGIwZTk5NDhkOTU0MmQ4MWExOTUxMzZk,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091600,,50V00/60,TECNOSEL,TECNO BAR PAD HONDA VINTAGE,Protector/Morcilla TECNOSEL para manillar Honda,12.81,10.59,6.88,8057912026972,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Traditional handlebar pad composed of a back-printed sheath made of crystall material (thickness 0,5 mm) and polyurethane inside. Size: 24,5 cm long and 1,2 cm internal diameter.</p></body> </html>","       Traditional handlebar pad composed of a back-printed sheath made of crystall material (thickness 0,5 mm) and polyurethane inside. Size: 24,5 cm long and 1,2 cm internal diameter. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,1453,111,78,274,68,Honda & Rojo,,https://api.mybihr.com/medias/1091600-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjcyNjV8aW1hZ2UvanBlZ3xhR1ZqTDJoaVl5ODRPVFUyTkRRNE1URXlOamN3THpFd09URTJNREF0TVY4NE1EQlhlRGd3TUVnfGFiMzBlNmM4OGQwNzAzODJjNTRlYjYyOWQ0ZjdiNzA1NTMzZjNkMzRjOWZlYmQyNjJmMTNmMDZkOTkzOTlhMzM,,,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091601,,50V00/90,TECNOSEL,TECNO BAR PAD KTM VINTAGE,Protector/Morcilla TECNOSEL para manillar KTM,12.81,10.59,6.88,4140002399,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Traditional handlebar pad composed of a back-printed sheath made of crystall material (thickness 0,5 mm) and polyurethane inside. Size: 24,5 cm long and 1,2 cm internal diameter.</p></body> </html>","       Traditional handlebar pad composed of a back-printed sheath made of crystall material (thickness 0,5 mm) and polyurethane inside. Size: 24,5 cm long and 1,2 cm internal diameter. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,1044,100,263,63,63,Azul & Blanco & KTM,,https://api.mybihr.com/medias/1091601-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTEwNDR8aW1hZ2UvanBlZ3xhRGszTDJneE5DODRPVEExTVRjek1qQTFNREl5THpFd09URTJNREV0TVY4NE1EQlhlRGd3TUVnfDdiNzFmNDQ3MGVkZDczMDhlMTlmMjEwMDdmNWFkMWM4N2E2NzY4NjA1ZjIyNmNjNGQxZjQ0YzJlMWUyMzMyNjg,,,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091602,,50V01,TECNOSEL,TECNO STICKERS FENDER,Ahesivos guardabarros TECNOSEL Vintage Sponsors,15.54,12.84,8.35,60600045,1,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The kit is composed of two fender stickers made of crystall material (thickness 0,5 mm), size around 36X15 cm, suitable to be applied on any motorbike model.</p></body> </html>","       The kit is composed of two fender stickers made of crystall material (thickness 0,5 mm), size around 36X15 cm, suitable to be applied on any motorbike model. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,1578,207,352,498,9,,,https://api.mybihr.com/medias/1091602-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTExODIyfGltYWdlL2pwZWd8YURFMkwyaGtOUzg0T1RNMk16STJNelkxTWpFMEx6RXdPVEUyTURJdE1WODRNREJYZURnd01FZ3xkYzY4NTYyYWQ3NWNkYzNlMWRjZGM4YjU2MTRhYjI4YjA0ZDdhM2UxZDI5ZTc3MjE1Y2RmNDM0ODEzMjg0MzU4,,,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091603,,51V00,TECNOSEL,TECNO STICKERS HONDA VINTAGE,Adhesivos TECNOSEL Vintage Honda,33.66,27.82,18.08,60600066,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The kit is composed of a sheet made of back-printed crystall material (thickness 0,5 mm) containing pre-cut stickers of different sizes. Universal application on motorbikes or various surfaces.</p></body> </html>","       The kit is composed of a sheet made of back-printed crystall material (thickness 0,5 mm) containing pre-cut stickers of different sizes. Universal application on motorbikes or various surfaces. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,1232,263,352,500,7,,,https://api.mybihr.com/medias/1091603-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE5NTc4fGltYWdlL2pwZWd8YUdNeUwyZzVaUzg0T1RJNU5UYzFOVEF4T0RVMEx6RXdPVEUyTURNdE1WODRNREJYZURnd01FZ3xiMWU4YzYyYjc1OTU5NTVhZDQ0MzYxYzBiMWU5NWRiZWY1ZGVlZGI4ZGZlYzdiY2ZmMDg5ZTg0MmE1MWIyMWU3,,,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091608,,81V02,TECNOSEL,TECNO STICKERS HONDA TEAM 92,Kit adhesivos completo TECNOSEL Team Honda 1992,155.36,128.40,83.46,8057912028235,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender. </p><p> </p><p>The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments. </p><p> </p><p>Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.</p><p> </p><ul> <li>Quality ''''made in Italy''''</li><li>Precise finishings and shapes</li><li>Designed to ease the assembling</li><li>Captivating design</li><li>Original Replica TECNOSEL</li></ul> </body> </html>","       The sticker kit includes: tank pair, radiator shrouds pair, airbox pair, number plates, fork protections pair, swing arm pair, front fender and rear fender.  The different pieces of the kit cannot be sold separately. The holes on the tank stickers allow the gasoline vapors to come out. In case of worn out tanks, this is not enough to prevent some slight detachments.  Seat cover to substitute the original one. Produced with non-slip material. Intended to renew the look of the the most popular off-road bikes.  Quality ''''made in Italy''''Precise finishings and shapesDesigned to ease the assemblingCaptivating designOriginal Replica TECNOSEL  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,4716,957,499,350,27,,,https://api.mybihr.com/medias/1091608-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQyNjMxfGltYWdlL2pwZWd8YUdSaUwyZzVNQzg0T1RRM016UXhNVFkwTlRjMEx6RXdPVEUyTURndE1WODRNREJYZURnd01FZ3xkZjgxNzBlYmNmYWUyYmI5MGFhOTM5MTJiYWJmMDI1OTRlMjM5NmNlMmY4Y2FkMzhiNTcyMjJiMDc0OGQ1NTk2,https://api.mybihr.com/medias/1091608-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzUzMTV8aW1hZ2UvanBlZ3xhREJoTDJnNFlTODRPVFEzTXpReE16WXhNVGd5THpFd09URTJNRGd0TWw4NE1EQlhlRGd3TUVnfGFiMGExMDRjY2E4YzIzMTVlNTAyMmQwY2RhOTI3ZjU1ZjBjODUyNjU1MzYyM2VjMzAyMTA3MTJlZjk1ZGU1MDY,https://api.mybihr.com/medias/1091608-3-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk0MjE0fGltYWdlL2pwZWd8YURSbEwyZzRNeTg0T1RRM016UXhOVFUzTnprd0x6RXdPVEUyTURndE0xODRNREJYZURnd01FZ3xmZTI4ZGQ4NTNkMWRlOThjNWM3OTUyYjQ3ZTI2MTZkYzE4ZjQzMzFkZWFiYzA5YTA1M2ZkYjdkNzFkODhiNjky,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091594,,3GV00/000006,TECNOSEL,TECNO STICKERS NUMBER PLATE,Juego adhesivos porta números oval TECNOSEL SWM TF1,30.25,25.00,16.25,8057912023971,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The sticker kit includes: front plate and side plates. </p><p>The different pieces of the kit cannot be sold separately.</p><p> </p></body> </html>","       The sticker kit includes: front plate and side plates. The different pieces of the kit cannot be sold separately.  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,620,163,253,350,7,,,,,,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
1091599,,50V00/30,TECNOSEL,TECNO BAR PAD KAWASAKI VINTAGE,Protector/MorcillaTECNOSEL para manillar Kawasaki,12.81,10.59,6.88,8057912026965,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Traditional handlebar pad composed of a back-printed sheath made of crystall material (thickness 0,5 mm) and polyurethane inside. Size: 24,5 cm long and 1,2 cm internal diameter.</p></body> </html>","       Traditional handlebar pad composed of a back-printed sheath made of crystall material (thickness 0,5 mm) and polyurethane inside. Size: 24,5 cm long and 1,2 cm internal diameter. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,1927,118,111,280,62,Kawasaki & Verde,,https://api.mybihr.com/medias/1091599-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjgyNDF8aW1hZ2UvanBlZ3xhRFExTDJoalpTODRPVE0yTXpJMk1UWTROakEyTHpFd09URTFPVGt0TVY4NE1EQlhlRGd3TUVnfDIxMjU0MzI5NjQxNTQ0MzhlZDE2MTI2NjAzN2ViN2FiNmE3Yzg3ZDNiNGEwMTcyY2UxMGIyYTllY2JjMTljNTA,,,https://static.bihr.pro/eBihr/Pictures/TECNOSEL-pictures.zip,Spain Warehouse (Parts)
