PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ángulo ( ° ),BCD (Mm),Color,Composición,Diámetro dirección Ø (mm),Diámetro Ø (mm),Dientes,Longitud (mm),Material de plato,Peso (g),Uso recomendado,Velocidades,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,AllPicturesZIP,Document1,DeliveryPlant
1116982,,RAS-217-110,CONTROLTECH,CTECH ONE ±17° DROP STEM 110MM,Potencia para bicicleta ±17° CONTROLTECH One - 110 mm,32.00,26.45,6.64,RAS-217-110,8,8714999089,0,1,"<ul>
<li>Material: AL6061</li>
<li>Manillar &Oslash;: 31.8mm</li>
<li>Direcci&oacute;n &Oslash;: 28.6mm</li>
<li>Longitud: 110mm</li>
<li>Inclinaci&oacute;n: +/- 17&deg; </li>
<li>Peso: 145g (110mm)</li>
</ul>","
Material: AL6061
Manillar Ø: 31.8mm
Dirección Ø: 28.6mm
Longitud: 110mm
Inclinación: +/- 17° 
Peso: 145g (110mm)
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1395,176,250,124,45,,,,,,,,,,,Carretera & MTB,,https://api.mybihr.com/medias/1116982-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTUwODkwfGltYWdlL2pwZWd8YUROaEwyaGlNQzh5TmpnNU1EazVPVFE1Tmpjek5DOHhNVEUyT1RneUxURmZPREF3VjNnNE1EQkl8OTRkNDM4ZDViMDJhYzMxZjgwN2E4YTk2M2RjYzY1ODE1N2M5ZTIyNDI5ODkxZjMxNjBhZmQ3NDQzMDEyZmVmMg,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,https://api.mybihr.com/medias/Controltech-RAS217-manual.pdf?context=bWFzdGVyfHJvb3R8NTkwMTQ3N3xhcHBsaWNhdGlvbi9wZGZ8YURZeUwyZ3dNeTh4TmpjMU1UQTVNRFUyTlRFMU1DOURiMjUwY205c2RHVmphQzFTUVZNeU1UY3RiV0Z1ZFdGc0xuQmtaZ3xhNmFlZTNkZThhNDQ4MjYxZjVhNGJhYTRmYTgwMmEwODIxNGI4MGY2ZWFkN2QwOGU5MWJmMDk2YzJmMzlkM2Y0,Spain Warehouse (Parts)
1116970,,ATB-312-800,CONTROLTECH,CTECH LYNX 31.8 EI BAR 800MM,Manillar de bicicleta CONTROLTECH Lynx EI 800mm,219.00,180.99,54.00,ATB-312-800,3,8714999089,0,1,"<ul>
<li>Material: Carbon</li>
<li>Diam&egrave;tre &Oslash;: 31.8mm</li>
<li>Anchura: 800mm</li>
<li>Elevaci&oacute;n: 8mm</li>
<li>Apertura: 6&deg;</li>
<li>Peso: 185g ( 800mm)</li>
<li>ZEDLER PASS</li>
</ul>","
Material: Carbon
Diamètre Ø: 31.8mm
Anchura: 800mm
Elevación: 8mm
Apertura: 6°
Peso: 185g ( 800mm)
ZEDLER PASS
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,8153,288,804,169,60,,,,,,,,,,,E-Bike,,https://api.mybihr.com/medias/1116970-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc2NDF8aW1hZ2UvanBlZ3xhR1UxTDJnNU5DOHlOamc1TURrNU5ERTRPRE14T0M4eE1URTJPVGN3TFRGZk9EQXdWM2c0TURCSXw5MDIxOWQ1MmFkYzIyZTQwMDhhYjM3YzhkZWEwYmYzNjM1OTdiZTIyOGNlOTM5OWI3MWE3OTNhZGIwNDViZGRh,https://api.mybihr.com/medias/1116970-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzAxMzR8aW1hZ2UvanBlZ3xhR0kwTDJnNVlpOHlOamc1TURrNU5ETTRORGt5Tmk4eE1URTJPVGN3TFRKZk9EQXdWM2c0TURCSXxmYTUzMGIzMzhkMzY4ZTk5NTA3NTZmNzJhYWQ2ODJiZGNmM2VkYzliNTIyYjFjZjZiMjQzZTMyMjUyNGNjN2Ji,https://api.mybihr.com/medias/1116970-3-800Wx800H?context=bWFzdGVyfHJvb3R8MjkwMzR8aW1hZ2UvanBlZ3xhRGd6TDJoaE5TOHlOamc1TURrNU5EWTBOekEzTUM4eE1URTJPVGN3TFROZk9EQXdWM2c0TURCSXw3MmE1NDg5NDY5NzM3NmM4ZTc3NjZkN2NkYmQ1NjNjMDE5YTQ4NzBhNzVhNDhjYmY2NTIyOGNmNmZlODU1MmI0,https://api.mybihr.com/medias/1116970-4-800Wx800H?context=bWFzdGVyfHJvb3R8NzMwNzB8aW1hZ2UvanBlZ3xhR05tTDJobVlTOHlOamc1TURrNU5UQTBNREk0Tmk4eE1URTJPVGN3TFRSZk9EQXdWM2c0TURCSXwxNWFlZGYxMDI5NTQ5Nzk5ODM3MzJmOGMxOTBmZjZkN2EzNjY5OWNmM2M5YzZiNzk5ZTM2YmRjOTEwZDE1MTU0,https://api.mybihr.com/medias/1116970-5-800Wx800H?context=bWFzdGVyfHJvb3R8NDk5Nzl8aW1hZ2UvanBlZ3xhR0V5TDJobU55OHlOamc1TURrNU5UUXpNelV3TWk4eE1URTJPVGN3TFRWZk9EQXdWM2c0TURCSXwwODliMjI3YTQ4OWJjOGNiZTNjYThmNzljMjMwNTliOWMwZjE3YzQ3NTE1NjVkZWI0MmNhMjdiMDM3NThkMDIx,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,,Spain Warehouse (Parts)
1116916,,THS-01,CONTROLTECH,CTECH TIME ZONE HYDRATION SYSTEM,Sistema de hidratación CONTROLTECH Time Zone,89.00,73.55,28.00,THS-01,15,8714999089,0,1,"<ul>
<li>Material: Hdpe+Pa66-Gf30</li>
<li>Capacidad: 800ml </li>
<li>Talla: L 262x W 71x H 191mm</li>
<li>Peso: 396g</li>
</ul>","
Material: Hdpe+Pa66-Gf30
Capacidad: 800ml 
Talla: L 262x W 71x H 191mm
Peso: 396g
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,9578,495,358,273,98,,,,,,,,,,,Triathlon,,https://api.mybihr.com/medias/1116916-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzcyNDF8aW1hZ2UvanBlZ3xhREE0TDJnNE55OHlOamc0TnpZeE9EWXlOVFUyTmk4eE1URTJPVEUyTFRGZk9EQXdWM2c0TURCSXwwOWRkMDM4MGUzNjRiMWZiNTdmZWE0MzdlZjY2YzRhZWIxM2YyYjFjMDI3NjNjZjNmYTEyYTU4ODU4ZGM0ZDY1,https://api.mybihr.com/medias/1116916-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjAwMTV8aW1hZ2UvanBlZ3xhR1E1TDJnNFpDOHlOamc0TnpZeE9EZ3lNakUzTkM4eE1URTJPVEUyTFRKZk9EQXdWM2c0TURCSXw2ZmNmMzk4NDIyOGI0NGMyMzVhZWVjNTAzNzBkYzNlNTU5ZjdlZTI5Zjc0ZmJlMTk1NGMyYzU3ZWRiOWZkZTk5,https://api.mybihr.com/medias/1116916-3-800Wx800H?context=bWFzdGVyfHJvb3R8MTA3ODk1fGltYWdlL2pwZWd8YURReEwyaGtZeTh5TmpnNE56WXhPVEF4T0RjNE1pOHhNVEUyT1RFMkxUTmZPREF3VjNnNE1EQkl8MGYxZDE3Y2E3MWNlOGJjOGNjN2ZjNmE2NzU0MGZmNmZhMDRlMjVhNDBmYzQwZTVkNGZiMDBiOGFmMDgyYmQ0ZQ,https://api.mybihr.com/medias/1116916-4-800Wx800H?context=bWFzdGVyfHJvb3R8NTE5NTd8aW1hZ2UvanBlZ3xhREV5TDJobE15OHlOamc0TnpZeE9USXhOVE01TUM4eE1URTJPVEUyTFRSZk9EQXdWM2c0TURCSXxmMmUyZWVjMDYwMzZlOWMzYTQ0ZjBiZmViNGM5NzQ5MTY0M2FhZDU5NmNmNWQ0MGZlMDQ4ODk0MGI0MDdhZDJi,https://api.mybihr.com/medias/1116916-5-800Wx800H?context=bWFzdGVyfHJvb3R8NTY1ODZ8aW1hZ2UvanBlZ3xhR1V5TDJobE9TOHlOamc0TnpZeE9UUXhNVGs1T0M4eE1URTJPVEUyTFRWZk9EQXdWM2c0TURCSXxmZDc2NTQyY2JhOWEyM2EwYWRiOWZmMzJkOTc4Mzk1NGRlYTIzODcyYmIyYjAwZjY4YjFlMGNkNmIxYWNjYTMx,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,,Spain Warehouse (Parts)
1116993,,TTH-15P,CONTROLTECH,CTECH ELBOW PAD FALCON MINI TTH-14,Almohadillas de protección para los codos CONTROLTECH Falcon TT,11.50,9.50,3.00,TTH-15P,25,8714999089,0,1,<p>Almohadillas para los codos para acoples Falcon Mini (S&oacute;lo para TTH-14)</p>,"
Almohadillas para los codos para acoples Falcon Mini (Sólo para TTH-14)",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,789,38,172,102,45,,,,,,,,,,,Triathlon,,https://api.mybihr.com/medias/1116993-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzE1ODl8aW1hZ2UvanBlZ3xhRGc1TDJneE5DOHlOamc1TVRBd01qQTFNall6T0M4eE1URTJPVGt6TFRGZk9EQXdWM2c0TURCSXwyMDBmODJmNDM0YmU0Yjk1NTk3YjFiM2VlMDM4NTUxZWZkMmMyNTkzMjU1MDVjMWJmYzZkYjNjZGM4ZTA3ZjVj,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,,Spain Warehouse (Parts)
1116941,,CR-49/SHIMANO-53T BC,CONTROLTECH,CTECH ECCENTRIC RING 53T BCD110MM,Plato ovalado CONTROLTECH Shimano 53 dientes,165.00,136.36,41.00,1116941,3,8714999089,0,1,"<ul>
<li>Material: AL7075</li>
<li>Dentado: 53 dientes</li>
<li>BCD: 110</li>
</ul>","
Material: AL7075
Dentado: 53 dientes
BCD: 110
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,2569,295,262,258,38,,,,,,,,,Aluminio 7075-T6,,Triathlon,,https://api.mybihr.com/medias/1116941-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTUxOTh8aW1hZ2UvanBlZ3xhRFF5TDJnM1l5OHlOamc0TnpZek5EVTFNRGd4TkM4eE1URTJPVFF4TFRGZk9EQXdWM2c0TURCSXw0MzdmMDhiNWI0OTVhZTRjNjU0MWQzYTY1NjdmNGNiOTgzZjZiMzViMGFkYTI3YmZmYWUwNmYyOWIxYmEzY2M0,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,https://api.mybihr.com/medias/Controltech-Eccentric-Ring-Shimano.pdf?context=bWFzdGVyfHJvb3R8MjMxNDAwOXxhcHBsaWNhdGlvbi9wZGZ8YUdZekwyaGhaaTh4TmpjMU1UVTRPVFU0T1RBeU1pOURiMjUwY205c2RHVmphQzFGWTJObGJuUnlhV010VW1sdVp5MVRhR2x0WVc1dkxuQmtaZ3wwNmFjYzBkYTA0YjljNWE3ZmI1ZTYwNGQ0OGM3ZmM4NmEyYmU3MmNlMmI1ZDZiNDA1MTE4MTRjYmI0MjJmOTVk,Spain Warehouse (Parts)
1116915,,THS-01-B,CONTROLTECH,CTECH TIME ZONE HYDRATION SPARE PART B,Kit B para sistema de hidratación CONTROLTECH Time Zone,33.00,27.27,7.00,THS-01-B,5,8714999089,0,1,"<p>Incluye:</p>
<ul>
<li>Bid&oacute;n (800ml)</li>
<li>Tapa externa</li>
<li>Tapa interna</li>
</ul>","
Incluye:

Bidón (800ml)
Tapa externa
Tapa interna
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,3971,205,286,178,78,,,,,,,,,,,Triathlon,,https://api.mybihr.com/medias/800Wx800H-1116915-1.jpg?context=bWFzdGVyfHJvb3R8MTcxOTF8aW1hZ2UvanBlZ3xhRGRrTDJoaE9DOHpOVEV6T1RreU5EYzROekl6TUM4NE1EQlhlRGd3TUVoZk1URXhOamt4TlMweExtcHdad3wyNDM0NjllZWUzNDNjYmQyZmJhOWIxNzYzZTZiM2I1OGNiZWFlYTliMDgxNDI0NWNlZmM2YmNhZGZiZTg2OWRj,https://api.mybihr.com/medias/800Wx800H-1116915-2.jpg?context=bWFzdGVyfHJvb3R8MTg4MDh8aW1hZ2UvanBlZ3xhR001TDJobVpDOHpOVEV6T1RreU5URTRNRFEwTmk4NE1EQlhlRGd3TUVoZk1URXhOamt4TlMweUxtcHdad3w3MzAzMTFjMTdhY2Q0YjVlNDFkZTliMTA3ZTE5MWM2MjlmOGFkNDIxY2E0NDNiYWQ4OGI1NzA2MTk0Y2Q1YWY3,,,,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,,Spain Warehouse (Parts)
1116963,,ATB-958-60,CONTROLTECH,CTECH LYNX -10 ° DROP STEM 60MM,Potencia para bicicleta -10° CONTROLTECH Lynx - 60 mm,79.99,66.11,26.00,ATB-958-60,6,8714999089,0,1,"<ul>
<li>Material: AL6061</li>
<li>Centro de manillar &Oslash;: 31.8mm</li>
<li>Direcci&oacute;n &Oslash;: 28.6mm</li>
<li>Longitud: 60mm</li>
<li>Inclinaci&oacute;n: -10&deg;</li>
<li>Peso: 214g (70mm) </li>
</ul>","
Material: AL6061
Centro de manillar Ø: 31.8mm
Dirección Ø: 28.6mm
Longitud: 60mm
Inclinación: -10°
Peso: 214g (70mm) 
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1920,276,256,100,75,,,,,,,,,,,E-Bike,,https://api.mybihr.com/medias/1116963-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM2ODkxfGltYWdlL2pwZWd8YUdVeUwyZzFNQzh5TmpnNE56WTBOVE0yTkRJMU5DOHhNVEUyT1RZekxURmZPREF3VjNnNE1EQkl8NmFmY2FlY2ZlNTNmNjc4M2I0NjlkY2JjOTY2OTgwNDc0ODgxMjA5M2FhYmI3MmE4YmFjZDJlNzcxN2EwZTVjYQ,https://api.mybihr.com/medias/1116963-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjE2NDh8aW1hZ2UvanBlZ3xhREV5TDJnMFlTOHlOamc0TnpZME5UVTJNRGcyTWk4eE1URTJPVFl6TFRKZk9EQXdWM2c0TURCSXw4ZDliZjY0Mjk0OWMzZWI4ZjEyM2Q4MmNkZjYyZWZmMGQzYjRjZWNlMTk5NDkwODQzOTgwMzFkZmNkYTdmM2Vk,https://api.mybihr.com/medias/1116963-3-800Wx800H?context=bWFzdGVyfHJvb3R8NzQzMjB8aW1hZ2UvanBlZ3xhRFUxTDJnME15OHlOamc0TnpZME5UYzFOelEzTUM4eE1URTJPVFl6TFROZk9EQXdWM2c0TURCSXw3NDMyZjRjYTRiOGU3MGM5YmIyNGM3MzhiZThlZWU2MGVmODM2YmZjNzk2N2E3NDU1YjQzYWFlZjBhYTBiMzI0,https://api.mybihr.com/medias/1116963-4-800Wx800H?context=bWFzdGVyfHJvb3R8NzcyNTl8aW1hZ2UvanBlZ3xhRGcwTDJnell5OHlOamc0TnpZME5UazFOREEzT0M4eE1URTJPVFl6TFRSZk9EQXdWM2c0TURCSXw5NWQ0NjQ5MDIxZmE5ODQxZDVhM2RkZTVlNDM2YWQ4M2Q4MWJjOTYzZTk5MjMxZWY0NzA4MWY5NGM1MzkwODNj,https://api.mybihr.com/medias/1116963-5-800Wx800H?context=bWFzdGVyfHJvb3R8NTEyNDZ8aW1hZ2UvanBlZ3xhR1kwTDJneE5DOHlOamc0TnpZME5qSXhOakl5TWk4eE1URTJPVFl6TFRWZk9EQXdWM2c0TURCSXw5ZTUyMWJhODI4M2NhZWMxNGQ1NjMxOTQ4OTUwMWNhYTc0YzI2NGIxMWM0NzI3MTI5MmY4NDVlMmZkNzUwZTVm,https://api.mybihr.com/medias/1116963-6-800Wx800H?context=bWFzdGVyfHJvb3R8MTExMDM1fGltYWdlL2pwZWd8YURneUwyZ3lNaTh5TmpnNE56WTBOall3T1RRek9DOHhNVEUyT1RZekxUWmZPREF3VjNnNE1EQkl8MDQ5MTFkMzExNGYyMTk1Yzc5NGExMTgwNzY0ODcwMmM5MDcwNGI4NzU5NTg0ODlkZmYwYTg3MTEwNzE2M2RlMw,https://api.mybihr.com/medias/1116963-7-800Wx800H?context=bWFzdGVyfHJvb3R8MTAwNTE0fGltYWdlL2pwZWd8YUdObEwyZzNOeTh5TmpnNE56WTBOekF3TWpZMU5DOHhNVEUyT1RZekxUZGZPREF3VjNnNE1EQkl8ZWJjOTdjMzE3YTVjMDUxNGVjMzkwNzcyZjNkN2ExM2I1ODhiZmIxNzQwMDYxNTVmZDQ5NmQ5YjMzMTJmZWFkNw,https://api.mybihr.com/medias/1116963-8-800Wx800H?context=bWFzdGVyfHJvb3R8MTA0NDQ3fGltYWdlL2pwZWd8YURCaUwyZzRNeTh5TmpnNE56WTBOek01TlRnM01DOHhNVEUyT1RZekxUaGZPREF3VjNnNE1EQkl8NTQ1MDIyMDg5ZWIwOWI1YjJmMzIwYzBlNGZhYTc1OWFjYzliMjM5OGE4NGJkZWUxZjBlY2NkMGM5MzQxODA2Zg,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,,Spain Warehouse (Parts)
1117009,,TTH-14H,CONTROLTECH,CTECH TTH-14 EXTENSION BAR,Barras de recambio para acoples CONTROLTECH Falcon Mini,42.50,35.12,13.00,TTH-14H,4,8714999089,0,1,<p>Material: AL6061-T6</p>,"
Material: AL6061-T6",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1507,144,243,155,40,,,,,,,,,,,Triathlon,,https://api.mybihr.com/medias/800Wx800H-1117009-1.JPG?context=bWFzdGVyfHJvb3R8OTI0MjV8aW1hZ2UvanBlZ3xhRGxrTDJnMFl5ODBOREl3TlRFMk5qY3lNekV3TWk4NE1EQlhlRGd3TUVoZk1URXhOekF3T1MweExrcFFSd3xiMDRhNzZiMWNkYTE3NDc1ZGIwNzg3NTkxN2M4MDFlZjU1OWE2NjZiNDlkZDU4MjNhOTAyNmRjNDBhODI1NzZk,https://api.mybihr.com/medias/800Wx800H-1117009-2.JPG?context=bWFzdGVyfHJvb3R8ODQyNjJ8aW1hZ2UvanBlZ3xhR1EyTDJoaE1TODBOREl3TlRFMk56RXhOak14T0M4NE1EQlhlRGd3TUVoZk1URXhOekF3T1MweUxrcFFSd3wzMzE0ZjY2ZWM4MmFmNzAwYmI2ZWRjZWQxMjUxYWQzZDlhNThmMzI1MDVmNGRmYjNjNGRiYjkyYzhlNzZiNzJj,,,,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,https://api.mybihr.com/medias/Controltech-Extension.pdf?context=bWFzdGVyfHJvb3R8MjEzMDk2MXxhcHBsaWNhdGlvbi9wZGZ8YURObUwyaGxOeTh4TmpjMU1UVTVPRFl6TWprNU1DOURiMjUwY205c2RHVmphRjlGZUhSbGJuTnBiMjR1Y0dSbXw1NWYxODExMzM0NzgzMDkyYmZkNmZlZTJkYjdlMGZkOGRjNmJiNjMxMDBmNTQwNjVkNzcyODI3M2Y0NDg0OGU1,Spain Warehouse (Parts)
1116971,,ATB-956-40,CONTROLTECH,CTECH LYNX 31.8MM STEM 40MM,Potencia para bicicleta CONTROLTECH Lynx - 40mm,57.50,47.52,28.51,ATB-956-40,1,8714999089,0,1,"<ul>
<li>Material: AL6061</li>
<li>Manillar &Oslash;: 31.8mm</li>
<li>Direcci&oacute;n &Oslash;: 28.6mm</li>
<li>Longitud: 40mm</li>
<li>Inclinaci&oacute;n: +/- 0&deg;</li>
<li>Peso: 139g (40mm)</li>
<li>Ideal para All Mountain y Enduro 27.5 y 29''.</li>
</ul>","
Material: AL6061
Manillar Ø: 31.8mm
Dirección Ø: 28.6mm
Longitud: 40mm
Inclinación: +/- 0°
Peso: 139g (40mm)
Ideal para All Mountain y Enduro 27.5 y 29''.
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1282,182,231,111,50,,,,,,,,,,,MTB,,https://api.mybihr.com/medias/1116971-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYxOTQ3fGltYWdlL2pwZWd8YURFekwyaGxaQzh5TmpnNU1EazVOVGMyTVRFNE1pOHhNVEUyT1RjeExURmZPREF3VjNnNE1EQkl8MDc3ZWVhOTdiNmVlZDkxOWU4YzIxNzcwYzFhYmMxMmMwNzExMDc1Mzk5ZGJiMjIzNzE0NjE5NmI3MGVlY2M2Mg,https://api.mybihr.com/medias/1116971-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTIzMzc4fGltYWdlL3BuZ3xhRE0xTDJnMU55OHhOekU1TWpJeU5EVTROemd3Tmk4eE1URTJPVGN4TFRKZk9EQXdWM2c0TURCSXwxMjcwYzQ0ZDc2ZTcwMGYwZDJiZTQxYzY4ZWI2OGVlZWJjNmIyZmJiM2U0OWVmNDZiNWZjMWY4MWY4OTE1MmUz,,,,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,https://api.mybihr.com/medias/02-STEM.pdf?context=bWFzdGVyfHJvb3R8NTkwMTQ3N3xhcHBsaWNhdGlvbi9wZGZ8YUdKa0wyaG1OUzh4TmpjMU1URXdNekkwTmpNMk5pOHdNaTFUVkVWTkxuQmtaZ3w0MTM5OTQyMWUwNzM2NzkyYzUyOTkwOTViYmU4MzBhZTM3NDg0OTE5YjYwZDkyMjhiNjA4NDBmNWJlMjBlMDJh,Spain Warehouse (Parts)
1116985,,RAS-80-110,CONTROLTECH,CTECH ONE ±5° STEM 110MM,Potencia para bicicleta ±5° CONTROLTECH One - 110 mm,27.50,22.73,5.00,RAS-80-110,9,8714999089,0,1,"<ul>
<li>Material: AL6061</li>
<li>Manillar &Oslash;: 31.8mm</li>
<li>Direcci&oacute;n &Oslash;: 28.6mm</li>
<li>Longitud: 110mm</li>
<li>Inclinaci&oacute;n: +/- 5&deg; </li>
<li>Peso: 137g (110mm)</li>
</ul>","
Material: AL6061
Manillar Ø: 31.8mm
Dirección Ø: 28.6mm
Longitud: 110mm
Inclinación: +/- 5° 
Peso: 137g (110mm)
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1205,165,237,113,45,,,,,,,,,,,Carretera & Gravel & MTB,,https://api.mybihr.com/medias/1116985-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE5MDcxfGltYWdlL2pwZWd8YUdOaEwyaGxOeTh5TmpnNU1UQXdNREE0TmpVMU9DOHhNVEUyT1RnMUxURmZPREF3VjNnNE1EQkl8OWRiNTgyYTM2ZjBjZjE4M2RiNzVlZWUzYmYzMjFjMDcwNzUxZjgwYTk0NTEyODhlMTc2MmEzMjJmYTY4OWE1ZA,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,,Spain Warehouse (Parts)
1116957,,TTH-13P,CONTROLTECH,CTECH ELBOW PAD IMPEL MINI AEROBAR,Almohadillas de protección para los codos CONTROLTECH Impel mini,15.00,12.40,4.00,TTH-13P,4,8714999089,0,1,"<p>C&oacute;modas almohadillas para los brazos dise&ntilde;adas para los acoples de contrarreloj Impel de ControlTech.</p>
<p>Se adhiere r&aacute;pidamente para una seguridad total.<br>Proporciona una base estable para que una posici&oacute;n de contrarreloj sostenible.</p>","
Cómodas almohadillas para los brazos diseñadas para los acoples de contrarreloj Impel de ControlTech.

Se adhiere rápidamente para una seguridad total.Proporciona una base estable para que una posición de contrarreloj sostenible.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,447,27,163,98,28,,,,,,,,,,,Triathlon,,https://api.mybihr.com/medias/1116957-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODI4NDF8aW1hZ2UvanBlZ3xhRFkxTDJnM1lpOHlOamc0TnpZME1qWXhNVGMwTWk4eE1URTJPVFUzTFRGZk9EQXdWM2c0TURCSXwzMDI2ZTY0OTY4OWVmZGU0MzEzZDkyMWQyMTliNmM1Yjk4ZDZkOTMxOTU3YTJjZDc2MzQ4ODRiMzFlN2QzMzJh,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,,Spain Warehouse (Parts)
1117012,,TTH-18H,CONTROLTECH,CTECH TTH-26 EXTENSION BAR,Barras de recambio para acoples CONTROLTECH J Bend,225.00,185.95,76.00,TTH-18H,1,8714999089,0,1,<p>Material: Carbono</p>,"
Material: Carbono",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,2069,176,466,148,30,,,,,,,,,,,Triathlon,,https://api.mybihr.com/medias/800Wx800H-1117012-1.jpg?context=bWFzdGVyfHJvb3R8NTMwNjN8aW1hZ2UvanBlZ3xhR1ZrTDJnM09TOHpOVEV6T1RreE9Ea3lNVGMxT0M4NE1EQlhlRGd3TUVoZk1URXhOekF4TWkweExtcHdad3wwMDM2ZDFlYjc4YWJmMWZlZjNjZjNhMTViYjVmYmE1YzJlZjZmYjhjMjE5YTA0Y2VlZWE4MTk1ODFhYjNjODQy,https://api.mybihr.com/medias/800Wx800H-1117012-2.jpg?context=bWFzdGVyfHJvb3R8NTIzNTB8aW1hZ2UvanBlZ3xhR0kwTDJneU5DOHpOVEV6T1RreE9UTXhORGszTkM4NE1EQlhlRGd3TUVoZk1URXhOekF4TWkweUxtcHdad3wyZjdhZmFmNTQxNTRjZTUyYmY5ZjA4YmRhNmE0ODA4OTJmMTM1OWEzMjkzODM0NmY0NDA0ODA0ODk4YWFjOTBi,,,,,,,https://static.bihr.pro/eBihr/Pictures/CONTROLTECH-pictures.zip,https://api.mybihr.com/medias/Controltech-Extension.pdf?context=bWFzdGVyfHJvb3R8MjEzMDk2MXxhcHBsaWNhdGlvbi9wZGZ8YURObUwyaGxOeTh4TmpjMU1UVTVPRFl6TWprNU1DOURiMjUwY205c2RHVmphRjlGZUhSbGJuTnBiMjR1Y0dSbXw1NWYxODExMzM0NzgzMDkyYmZkNmZlZTJkYjdlMGZkOGRjNmJiNjMxMDBmNTQwNjVkNzcyODI3M2Y0NDg0OGU1,Spain Warehouse (Parts)
