PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (cm),Capacidad (ml/l),Carga máxima (kg),Color,Componente de fijación,Composición,Diámetro Ø (mm),Embalaje,Homologación,Longitud (cm),Peso (kg),Posición,Terminales,Uso recomendado,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,Document1,DeliveryPlant
1115003002,,8487200048,POLISPORT,"POLIS PIVOT LEVER SET, BLK",Juego de manetas articuladas POLISPORT Pivot negro - Husqvarna,121.91,100.75,65.49,5604415130571,2,8714105000,0,1,"<p>Polisport presenta su nueva gama de manetas innovadoras, con sistema de pivote y fabricadas con APT Aero Parts Technology. APT es un compuesto patentado que emula la sensaci&oacute;n y el tacto de las manetas de aluminio, que los pilotos adoran y a las que est&aacute;n acostumbrados, a la vez que hace que la maneta sea irrompible y sin ninguna flexi&oacute;n durante su uso.</p>
<p>Polisport ha desarrollado esta gama de manetas durante los &uacute;ltimos a&ntilde;os, en colaboraci&oacute;n con pilotos profesionales y amantes del fin de semana, para satisfacer sus necesidades y alcanzar la sensaci&oacute;n que buscan en una maneta. El objetivo era desarrollar una maneta irrompible manteniendo el tacto de una maneta de aluminio OEM, sin ning&uacute;n tipo de flexi&oacute;n durante el uso, incluso en condiciones extremas.</p>
<p>Las manetas Polisport est&aacute;n dise&ntilde;adas para montarse en la percha y el cilindro maestro originales. El soporte de la maneta est&aacute; mecanizado con ultra precisi&oacute;n por CNC en aluminio de alta calidad para un dise&ntilde;o s&uacute;per ligero. Las manetas tienen un dise&ntilde;o de 3 dedos para el lado del embrague y del freno. El sistema de pivote permite que la maneta se pliegue hacia fuera para evitar que se rompa en caso de accidente.<br>Con una superficie texturizada y un logotipo impreso en seda en la parte posterior, las manetas irrompibles Polisport Pivot est&aacute;n disponibles en los colores de la marca, blanco, negro y dorado, para adaptarse a su estilo.</p>","
Polisport presenta su nueva gama de manetas innovadoras, con sistema de pivote y fabricadas con APT Aero Parts Technology. APT es un compuesto patentado que emula la sensación y el tacto de las manetas de aluminio, que los pilotos adoran y a las que están acostumbrados, a la vez que hace que la maneta sea irrompible y sin ninguna flexión durante su uso.

Polisport ha desarrollado esta gama de manetas durante los últimos años, en colaboración con pilotos profesionales y amantes del fin de semana, para satisfacer sus necesidades y alcanzar la sensación que buscan en una maneta. El objetivo era desarrollar una maneta irrompible manteniendo el tacto de una maneta de aluminio OEM, sin ningún tipo de flexión durante el uso, incluso en condiciones extremas.

Las manetas Polisport están diseñadas para montarse en la percha y el cilindro maestro originales. El soporte de la maneta está mecanizado con ultra precisión por CNC en aluminio de alta calidad para un diseño súper ligero. Las manetas tienen un diseño de 3 dedos para el lado del embrague y del freno. El sistema de pivote permite que la maneta se pliegue hacia fuera para evitar que se rompa en caso de accidente.Con una superficie texturizada y un logotipo impreso en seda en la parte posterior, las manetas irrompibles Polisport Pivot están disponibles en los colores de la marca, blanco, negro y dorado, para adaptarse a su estilo.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,,1417,260,253,140,40,,,,Negro,,,,,,,,,,,https://api.mybihr.com/medias/1115003002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTM2Nzh8aW1hZ2UvanBlZ3xhRGM1TDJnek15OHhOVEl4TmpVNE5UZzJOekk1TkM4eE1URTFNREF6TURBeUxURmZPREF3VjNnNE1EQkl8ZWM0NjZkMDc1YWFhOTVkN2Q3ZWY0MGY4OWE0NzVmZmVkODc1YzY5MTIwZDVjNTgzNjI5MDAwYThiNmFhOWYxZA,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1114998002,,8487200033,POLISPORT,"POLIS PIVOT LEVER SET, BLK",Juego de manetas articuladas POLISPORT Pivot negro - KTM / Husqvarna,121.91,100.75,65.49,5604415130427,6,8714105000,0,1,"<p>Polisport presenta su nueva gama de manetas innovadoras, con sistema de pivote y fabricadas con APT Aero Parts Technology. APT es un compuesto patentado que emula la sensaci&oacute;n y el tacto de las manetas de aluminio, que los pilotos adoran y a las que est&aacute;n acostumbrados, a la vez que hace que la maneta sea irrompible y sin ninguna flexi&oacute;n durante su uso.</p>
<p>Polisport ha desarrollado esta gama de manetas durante los &uacute;ltimos a&ntilde;os, en colaboraci&oacute;n con pilotos profesionales y amantes del fin de semana, para satisfacer sus necesidades y alcanzar la sensaci&oacute;n que buscan en una maneta. El objetivo era desarrollar una maneta irrompible manteniendo el tacto de una maneta de aluminio OEM, sin ning&uacute;n tipo de flexi&oacute;n durante el uso, incluso en condiciones extremas.</p>
<p>Las manetas Polisport est&aacute;n dise&ntilde;adas para montarse en la percha y el cilindro maestro originales. El soporte de la maneta est&aacute; mecanizado con ultra precisi&oacute;n por CNC en aluminio de alta calidad para un dise&ntilde;o s&uacute;per ligero. Las manetas tienen un dise&ntilde;o de 3 dedos para el lado del embrague y del freno. El sistema de pivote permite que la maneta se pliegue hacia fuera para evitar que se rompa en caso de accidente.<br>Con una superficie texturizada y un logotipo impreso en seda en la parte posterior, las manetas irrompibles Polisport Pivot est&aacute;n disponibles en los colores de la marca, blanco, negro y dorado, para adaptarse a su estilo.</p>","
Polisport presenta su nueva gama de manetas innovadoras, con sistema de pivote y fabricadas con APT Aero Parts Technology. APT es un compuesto patentado que emula la sensación y el tacto de las manetas de aluminio, que los pilotos adoran y a las que están acostumbrados, a la vez que hace que la maneta sea irrompible y sin ninguna flexión durante su uso.

Polisport ha desarrollado esta gama de manetas durante los últimos años, en colaboración con pilotos profesionales y amantes del fin de semana, para satisfacer sus necesidades y alcanzar la sensación que buscan en una maneta. El objetivo era desarrollar una maneta irrompible manteniendo el tacto de una maneta de aluminio OEM, sin ningún tipo de flexión durante el uso, incluso en condiciones extremas.

Las manetas Polisport están diseñadas para montarse en la percha y el cilindro maestro originales. El soporte de la maneta está mecanizado con ultra precisión por CNC en aluminio de alta calidad para un diseño súper ligero. Las manetas tienen un diseño de 3 dedos para el lado del embrague y del freno. El sistema de pivote permite que la maneta se pliegue hacia fuera para evitar que se rompa en caso de accidente.Con una superficie texturizada y un logotipo impreso en seda en la parte posterior, las manetas irrompibles Polisport Pivot están disponibles en los colores de la marca, blanco, negro y dorado, para adaptarse a su estilo.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,,1370,243,250,137,40,,,,Negro,,,,,,,,,,,https://api.mybihr.com/medias/1114998002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTM2Nzh8aW1hZ2UvanBlZ3xhR0ZoTDJnME5DOHhOVEl4TmpVM056SXhOalUwTWk4eE1URTBPVGs0TURBeUxURmZPREF3VjNnNE1EQkl8ZmRhNmFlYzljMjY2MTIwNzhjZTRkYmYzZDdjMWE5ZWRiNDQ3ZTdhNGM4YzNlNWQ2MzE5MDNjYzhjYzYwMmQxYw,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1125646001,,8499600001,POLISPORT,"POLIS CHAINGUIDE SLIDER , BLK",Guía cadenas POLISPORT,20.06,16.58,10.78,5604415151439,2,8714109090,0,1,"<p>Los pl&aacute;sticos Polisport se fabrican con pl&aacute;stico inyectado con tecnolog&iacute;as desarrolladas por la propia marca. Todas las piezas de pl&aacute;stico se fabrican con el DGP (Polipropileno de brillo duradero) que les proporciona un alto nivel de resistencia y acabado brillante.</p>
<ul>
<li>Tipo OEM</li>
<li>Igual que el utilizado en MXGP</li>
</ul>","
Los plásticos Polisport se fabrican con plástico inyectado con tecnologías desarrolladas por la propia marca. Todas las piezas de plástico se fabrican con el DGP (Polipropileno de brillo duradero) que les proporciona un alto nivel de resistencia y acabado brillante.

Tipo OEM
Igual que el utilizado en MXGP
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,Negro,,873,81,214,85,48,,,,Negro,,,,por unidad,,,,,,,https://api.mybihr.com/medias/800Wx800H-1125646001-1.jpg?context=bWFzdGVyfHJvb3R8NDQwMTF8aW1hZ2UvanBlZ3xhRFU0TDJneFpDODROakE0T1RNM09Ea3lNalV5Tmk4NE1EQlhlRGd3TUVoZk1URXlOVFkwTmpBd01TMHhMbXB3Wnd8MGRlMDQwYzVjODFkMGZjZWVkNGYzZGYwNGUxMzk1ZDcyMzA5OTU4OWYwYjI3YWQ5YTczOGJmZTZkNzQ1MzEwZA,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1125647002,,8498400005,POLISPORT,"POLIS PLASTIC RAD SCOOPS, WHT",Tapas de radiador POLISPORT,51.33,42.42,27.57,5604415151125,7,8714109090,0,1,"<p>Los pl&aacute;sticos Polisport se fabrican con pl&aacute;stico inyectado con tecnolog&iacute;as desarrolladas por la propia marca. Todas las piezas de pl&aacute;stico se fabrican con el DGP (Polipropileno de brillo duradero) que les proporciona un alto nivel de resistencia y acabado brillante.</p>
<ul>
<li>Tipo OEM</li>
<li>Igual que el utilizado en MXGP</li>
</ul>","
Los plásticos Polisport se fabrican con plástico inyectado con tecnologías desarrolladas por la propia marca. Todas las piezas de plástico se fabrican con el DGP (Polipropileno de brillo duradero) que les proporciona un alto nivel de resistencia y acabado brillante.

Tipo OEM
Igual que el utilizado en MXGP
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,Blanco,,22888,558,630,346,105,,,,Blanco,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1125647002-1.jpg?context=bWFzdGVyfHJvb3R8MzU0MDB8aW1hZ2UvanBlZ3xhR0ZqTDJneVl5ODJOREkwTkRrM05EYzBOelkzT0M4NE1EQlhlRGd3TUVoZk1URXlOVFkwTnpBd01pMHhMbXB3Wnd8YmIzOTAyZjY1ZGVmM2Y4OGU2YTc3YzRmMjkwYmRhYTQ1YjFkOTRhMDllMmI0Njk1M2ZkZjI1NmM4OTE1MGEwNg,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1125647001,,8498400004,POLISPORT,"POLIS PLASTIC RAD SCOOPS, BLU",Tapas de radiador POLISPORT,51.33,42.42,27.57,5604415151118,1,8714109090,0,1,"<p>Los pl&aacute;sticos Polisport se fabrican con pl&aacute;stico inyectado con tecnolog&iacute;as desarrolladas por la propia marca. Todas las piezas de pl&aacute;stico se fabrican con el DGP (Polipropileno de brillo duradero) que les proporciona un alto nivel de resistencia y acabado brillante.</p>
<ul>
<li>Tipo OEM</li>
<li>Igual que el utilizado en MXGP</li>
</ul>","
Los plásticos Polisport se fabrican con plástico inyectado con tecnologías desarrolladas por la propia marca. Todas las piezas de plástico se fabrican con el DGP (Polipropileno de brillo duradero) que les proporciona un alto nivel de resistencia y acabado brillante.

Tipo OEM
Igual que el utilizado en MXGP
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,Azul,,19156,538,577,400,83,,,,Azul,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1125647001-1.jpg?context=bWFzdGVyfHJvb3R8MTA1MTk0fGltYWdlL2pwZWd8YURrNEwyaGxaUzgyTWpjMU1EWTVOams1TmpnNU5DODRNREJYZURnd01FaGZNVEV5TlRZME56QXdNUzB4TG1wd1p3fGQzYjBhYTRlZTczNTQ1ZWYxNWE0M2JmNjU2ZjE5OTIxMmZiNWEzMGUyYzEwMjdkNDcwOWRjZjI3NWQxMWU5ZTc,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1125647003,,8498400006,POLISPORT,"POLIS PLASTIC RAD SCOOPS, BLK",Paneles laterales de radiador POLISPORT,51.33,42.42,27.57,5604415151132,1,8714109090,0,1,"<p>Las Tapas De Radiador Polisport se producen con tecnolog&iacute;as exclusivas para que la pieza sea brillante, duradera y con el mismo nivel de calidad que los pl&aacute;sticos originales de la moto.</p>
<p><strong>Caracter&iacute;sticas:</strong></p>
<ul>
<li>Atornillado directo. F&aacute;cil de instalar</li>
<li>Ajuste perfecto en el modelo y marca indicados</li>
<li>Resistente en ambientes duros</li>
<li>Estilo y forma OEM</li>
</ul>","
Las Tapas De Radiador Polisport se producen con tecnologías exclusivas para que la pieza sea brillante, duradera y con el mismo nivel de calidad que los plásticos originales de la moto.

Características:

Atornillado directo. Fácil de instalar
Ajuste perfecto en el modelo y marca indicados
Resistente en ambientes duros
Estilo y forma OEM
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,Negro,,18579,2,578,328,98,,,,Negro,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1125647003-1.jpg?context=bWFzdGVyfHJvb3R8NDYxNDB8aW1hZ2UvanBlZ3xhR0pqTDJoak5pODJNekF6TWpBME1UZzJOVEkwTmk4NE1EQlhlRGd3TUVoZk1URXlOVFkwTnpBd015MHhMbXB3Wnd8ODYwZGY3NTUyNDQ3OWYyZTE3MGMyZmFhYWE4ODQ4M2YyOWQxZjMxM2QzZTA0MjJjMmIzYTEzOGY5N2NmOTk2ZQ,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1057561,92636,8461500003,POLISPORT,POLIS COVER IGNITION,Protector tapa de encendido Polisport Husqvarna azul 8461500003,37.81,31.25,11.66,8430525926363,7,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Protects from impacts and abrasion</p><p> </p><ul start=""1""> <li>Hard shell in hard resistant PA6 (polyamide)</li><li>Built in rubber o-ring</li><li>Easy and intuitive installation (no need to disassemble the ignition cover)</li><li>Perfect fit to the ignition cover</li><li>Mounting kit included</li></ul> </body> </html>","       Protects from impacts and abrasion  Hard shell in hard resistant PA6 (polyamide)Built in rubber o-ringEasy and intuitive installation (no need to disassemble the ignition cover)Perfect fit to the ignition coverMounting kit included  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,1951,164,146,167,80,,,,Azul & Azul,,Poliamida PA6 de alta resistencia,,por unidad,,,,,,,https://api.mybihr.com/medias/1057561-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzkxMTl8aW1hZ2UvanBlZ3xhRE5pTDJnME1TODRPVGN5TlRZeU1qQXlOalUwTHpFd05UYzFOakV0TVY4NE1EQlhlRGd3TUVnfDZjZDIzZjQ2ZTJmNWMyZTBmY2I5N2EwMTAzYjEzMDFlMTNlNGFmOGI0YmQ4ZGM4ZjQ1NmJlMjBlZTE3NmI4YTU,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1057658,93269,90743,POLISPORT,POLIS PLASTIC KIT,Kit de plástica completo Polisport Kawasaki amarillo fluor 90743,164.44,135.90,88.34,8430525932692,3,8714109090,0,0,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs338D9379{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:circle;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Polisport plastics are made from injected plastic with the own brand developed technologies. All the plastic parts are manufactured with the DGP (Durable Gloss Polypropylene) which provides them high level resistance and gloss finish.</p><p> </p><ul> <li>Included:<ul> <li>Front fender</li><li>Rear fender</li><li>Radiator covers</li><li>Side panels</li><li>Front number plate</li></ul> </li><li>OEM type</li><li>Same as used in MXGP</li></ul> </body> </html>","       Polisport plastics are made from injected plastic with the own brand developed technologies. All the plastic parts are manufactured with the DGP (Durable Gloss Polypropylene) which provides them high level resistance and gloss finish.  Included: Front fenderRear fenderRadiator coversSide panelsFront number plate OEM typeSame as used in MXGP  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,98749,3666,769,261,492,,,,Amarillo neón,,,,,,,,,,,https://api.mybihr.com/medias/1057658-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUwMTU1fGltYWdlL2pwZWd8YURReEwyZzNZaTg0T1RjeU5UZzNPRGt5TnpZMkx6RXdOVGMyTlRndE1WODRNREJYZURnd01FZ3xlNTI3YjM1ODhiOGEyYzk4NDA1NzE2YzUwMGY4NmQxMjAxMTk1MjA3ODlhYWQwYmIxYmI0ZTllZGJiMGMzNWQ1,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1057620,42776,8306500004,POLISPORT,POLIS MOUNT KIT HANDGUARD,Kit de montaje paramanos Polisport a la maneta Suzuki Kawasaki 8306500004,9.44,7.80,4.68,5604415053726,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,34944,137,400,320,273,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1057843,42903,8666500006,POLISPORT,POLIS PROTECTION SKID PLATE,Cubrecarter standard Polisport Yamaha 8375400019,120.44,99.54,47.80,8430525429031,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,12833,490,252,485,105,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1057843-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc2MzZ8aW1hZ2UvanBlZ3xhR1UzTDJoaVl5OHhOVFF4TlRZNU56TXdPVGN5Tmk4eE1EVTNPRFF6TFRGZk9EQXdWM2c0TURCSXwwYWZjZTQwNzVjOWI1ZDMwYzI3OTg1ZGRhY2ZmMzllN2Q5NzQ2MDRiYTYxYTZhMzE3YTNkOTE1NjEwZTQyNjNj,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1057855,55734,8668600001,POLISPORT,POLIS PROTECTION SKID PLATE,Cubrecarter standard Polisport KTM Husqvarna 8375400047,120.44,99.54,43.77,8430525557345,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,9713,584,555,350,50,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1057855-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE2ODB8aW1hZ2UvanBlZ3xhREk0TDJnNE5DOHhOVFF4TlRjd01qSTVNRFEyTWk4eE1EVTNPRFUxTFRGZk9EQXdWM2c0TURCSXwzMTQ1NDNmNjRhNzYzOTQyMjk0MjYwZjhlMzM3ZTNmNjkzNmZkZTk5YjQxMmNiZTMxOWNkYjczM2U3MjY3NzMx,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1057808,42797,8668800001,POLISPORT,POLIS HANDGUARD ROCKS SHELL,Recambio paramanos Polisport Mx Rocks verde 8306400029,23.95,19.79,8.51,8430525427976,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,3499,152,164,251,85,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1057808-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTU0NDN8aW1hZ2UvanBlZ3xhR0ZpTDJnNU5TOHhOVFF4TlRZMU1qSTROalE1TkM4eE1EVTNPREE0TFRGZk9EQXdWM2c0TURCSXxhOTRjZTk5OTIzMDk5YzM2YmRmNDcxNTk1ZDgzMGQ1MTYyZmE1YzQyZTAxNjY5ZmZiNTkxZDI1YWNmZDM0MDJj,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1057816,42738,8666900004,POLISPORT,POLIS HANDGUARD SHIELD SHELL,Recambio paramanos Polisport Shield naranja 8305500005,23.79,19.66,12.78,5604415021541,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,3302,286,172,240,80,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1057816-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzk5NTl8aW1hZ2UvanBlZ3xhRGRtTDJnMU15OHhOVFF4TlRZNE9ESXdNREl5TWk4eE1EVTNPREUyTFRGZk9EQXdWM2c0TURCSXxiNDk4ZGUwYmRkNGFiNzE1ZGEyODNhZTI5ZTFhMTQ1MzU3NGIwYjQzZjFkNTdkNjhjMjM5ZTYwODQ0NGU2NjU1,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1057862,42822,90865,POLISPORT,POLIS SPAREPARTS LAMP,Recambio lámpara careta Polisport Lookos 8678100017,97.95,80.95,31.57,8430525428225,1,8714109090,0,1,Recambio bombilla careta Polisport Lookos,Recambio bombilla careta Polisport Lookos,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,664,152,105,113,56,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1057862-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzc1MDl8aW1hZ2UvanBlZ3xhREZqTDJnNVlpOHhOVFF4TlRjd05EWTBPVGMxT0M4eE1EVTNPRFl5TFRGZk9EQXdWM2c0TURCSXw5OTZiYTFmNTIyMmU0ODJlYWRhMzM5ZmZkMGNhMjU5NzQ2Mjk1OThkNjYwMzMxNDQ3ZDMyOGM2NzY4OTVkMDZi,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1105694,1105694,91094,POLISPORT,POLIS PLASTIC KIT BLACK,"Kit de plástica Polisport, negro",166.28,137.42,50.00,5604415123108,2,8714109090,0,1,"<p>Polisport plastics are made from injected plastic with our own brand developed technologies. All the plastic parts are manufactured with the DGP (Durable Gloss Polypropylene) which provides them with high level resistance and gloss finish.</p>
<ul>
<li>Included:
<ul>
<li>Rear fender</li>
<li>Front fender</li>
<li>Radiator covers</li>
<li>Front panel</li>
<li>Side panels</li>
<li>Fork guards</li>
</ul>
</li>
<li>OEM type</li>
<li>Same as used in MXGP</li>
</ul>","
Polisport plastics are made from injected plastic with our own brand developed technologies. All the plastic parts are manufactured with the DGP (Durable Gloss Polypropylene) which provides them with high level resistance and gloss finish.

Included:

Rear fender
Front fender
Radiator covers
Front panel
Side panels
Fork guards


OEM type
Same as used in MXGP
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,73352,3485,774,405,234,,,,Negro,,,,,,,,,,,https://api.mybihr.com/medias/1105694-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODE5NjB8aW1hZ2UvanBlZ3xhR1ZpTDJneU9DOHhNVEk0TURRNE1UTTROalV5Tmk4eE1UQTFOamswTFRGZk9EQXdWM2c0TURCSXw2NjgwOTA0YjY2ZDk2OGRkOTkyMWM5NDdhNDZhZmE1YTliNDQxZDcxNDM4ZmNmYjIzYzdmNTNlMWI3M2Y5MTY0,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1057859,92681,90934,POLISPORT,POLIS PROTECTION SKID PLATE,Cubrecarter extra Protección Polisport Beta 8375400056,123.94,102.43,66.58,8430525926813,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,,19152,714,630,380,80,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1057859-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg2MDh8aW1hZ2UvanBlZ3xhR1V5TDJobVpDOHhOVFF4TlRjd016ZzJNek15Tmk4eE1EVTNPRFU1TFRGZk9EQXdWM2c0TURCSXxmMjIxZGY1MTMwOWFiYTE1MGM3NTk1NDZlNGQxZmU2ZTgyYWMzNjRlYzU4OWRhN2M3MTI3N2FkYzI1NTU2YTZh,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
1126904001,,8477200001,POLISPORT,"POLIS PLASTIC SIDE PANELS, BLU",Paneles laterales de radiador POLISPORT,51.33,42.42,27.57,5604415130892,2,8714109090,0,1,"<p>Las tapas de radiador de Polisport son dise&ntilde;adas con nuestras tecnologias exclusivas, por eso, nuestras piezas son a&uacute;n m&aacute;s resistentes y duraderas que las existentes en stock. El encaje es perfecto y no tendr&aacute; ning&uacute;n problema con el montaje. Nuestros carenados para Motocross y Enduro tienen la mejor calidad del mercado. Si busca la calidad OEM no busque m&aacute;s, tenemos 40 a&ntilde;os de experiencia y somos proveedores de piezas originales para los mayores fabricantes mundiales de moto todo terreno. Las tapas de radiador para los modelos Yamaha YZ125/250 son la mejor opci&oacute;n para reemplazar los pl&aacute;sticos de su motocicleta.</p>","
Las tapas de radiador de Polisport son diseñadas con nuestras tecnologias exclusivas, por eso, nuestras piezas son aún más resistentes y duraderas que las existentes en stock. El encaje es perfecto y no tendrá ningún problema con el montaje. Nuestros carenados para Motocross y Enduro tienen la mejor calidad del mercado. Si busca la calidad OEM no busque más, tenemos 40 años de experiencia y somos proveedores de piezas originales para los mayores fabricantes mundiales de moto todo terreno. Las tapas de radiador para los modelos Yamaha YZ125/250 son la mejor opción para reemplazar los plásticos de su motocicleta.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,Azul,,15369,508,580,363,73,,,,Azul,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1126904001-1.jpg?context=bWFzdGVyfHJvb3R8MTkzMDR8aW1hZ2UvanBlZ3xhRGt6TDJnME5DODJOekEzTlRreE5EQTNNakE1TkM4NE1EQlhlRGd3TUVoZk1URXlOamt3TkRBd01TMHhMbXB3Wnd8YzMwYzk0ODJhMTllNDY0NjEzNWZkYzgxOGFmNGI5OTU3YTgzYzQyODY3ZjNiNDNmNTI5MTFkNmQ5NGZjMWM5Yw,,,,,https://static.bihr.pro/eBihr/Pictures/POLISPORT-pictures.zip,,Spain Warehouse (Parts)
