PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad,V-Color,V-Colores,V-Talla,V-Talla de calzado,V-Tamaño,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ajuste del par de apriete,Altura (cm),Altura (mm),Anchura (cm),Anchura (mm),Cantidad,Capacidad (ml/l),Color,Diámetro Ø (mm),Forma,Longitud (cm),Longitud (mm),Peso (g),Peso (kg),Rango de uso,Talla,Tamaño de accionamiento cuadrado,Tipo de alicates,Tipo de destornillador,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,Picture9,AllPicturesZIP,Document1,DeliveryPlant
1107134004,,079030804,BETA,"BETA WORK OVERALLS 7903G, XL",BETA Work Overalls Grey - Size XL,91.36,75.50,60.40,8054809136240,0,6203433100,0,0,"<h4>Composizione</h4>
<p>T/C canvas, 65 % polyester, 35 % cotton, 260 g/m2</p>
<h4>Design</h4>
<ul>
<li>Inserts and kneepads in ""Oxford"" polyester/PU, 220 g/m2</li>
<li>Metal zipper</li>
<li>Adjustable elastic straps with quick release made of plastic</li>
<li>Elasticated waistband</li>
<li>Large chest pocket with Velcro closure</li>
<li>Two deep front pockets with velcro closure</li>
<li>Large left side pocket with Velcro closure, phone pocket and badge pocket</li>
<li>Large back pockets with ""Oxford"" reinforcements and Velcro closure</li>
<li>Ruler pocket and hammer loop</li>
<li>Knee pad pockets</li>
</ul>","Composizione

T/C canvas, 65 % polyester, 35 % cotton, 260 g/m2
Design

Inserts and kneepads in ""Oxford"" polyester/PU, 220 g/m2
Metal zipper
Adjustable elastic straps with quick release made of plastic
Elasticated waistband
Large chest pocket with Velcro closure
Two deep front pockets with velcro closure
Large left side pocket with Velcro closure, phone pocket and badge pocket
Large back pockets with ""Oxford"" reinforcements and Velcro closure
Ruler pocket and hammer loop
Knee pad pockets
",RIDER GEAR,APPAREL,APPAREL SUIT,,,,,,XL,9253,1124,443,354,59,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1107134004-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ4MTR8aW1hZ2UvanBlZ3xhR0ZqTDJoaU1TOHhNVGMzTlRFNU56WTBNamM0TWk4eE1UQTNNVE0wTURBMExURmZPREF3VjNnNE1EQkl8Njk5NWMyMmI1NDc2ZTkwYzk2MzQyNmI4ZGRjN2FiZGI4NTE0ODdkNTY0MzFjY2ExZWRjYzgwYWRiYThlNDZkOQ,https://api.mybihr.com/medias/1107134004-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjM2NjZ8aW1hZ2UvanBlZ3xhREZoTDJobU9TOHhNVGMzTlRFNU9EQXpOVGs1T0M4eE1UQTNNVE0wTURBMExUSmZPREF3VjNnNE1EQkl8YjI5MTEwMTZhZWQ2MjMyYzdlYjI3OGFmNGYxOGQyYzBkMWE1NWY4NGYzZTI3MzZlMDNhZGRlNzFmZmQzYmMxZQ,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1129845,,3028 15,BETA,BETA HYDRAULIC BENCH PRESS 15T,Prensa hidráulica con pistón móvil para banco BETA - 15T,1208.49,998.75,799.00,8054809424408,0,8462619000,0,1,"<p><strong>Caracter&iacute;sticas:</strong></p>
<ul>
<li>Capacidad m&aacute;xima: 15 t</li>
<li>Ajuste superior vertical manual</li>
<li>Pist&oacute;n deslizante</li>
<li>Dispositivo de seguridad de sobrecarga hidr&aacute;ulica</li>
<li>Man&oacute;metro</li>
<li>Juego de prismas en V incluidos</li>
</ul>","
Características:

Capacidad máxima: 15 t
Ajuste superior vertical manual
Pistón deslizante
Dispositivo de seguridad de sobrecarga hidráulica
Manómetro
Juego de prismas en V incluidos
",TOOLING & WS,WS,WS. MAINTENANCE,,,,,,,165120,73000,860,640,300,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1129845-1.jpg?context=bWFzdGVyfHJvb3R8NDgxNjF8aW1hZ2UvanBlZ3xhR1JsTDJoak5DODNPVFkwTlRZNU5EazFNVFExTkM4NE1EQlhlRGd3TUVoZk1URXlPVGcwTlMweExtcHdad3xjYjRlOGEyZmQ4Y2ZmZDA3NDEyNTk5NDI0YTI5ZTFhYzY4ZGRjNWIyNWZjYWI1ZTRiM2M4MjhkNmI1YmM2ZjQ4,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1147089,,098820010,BETA,BETA LIQUIDE DÉTACHANT ROUILLE,Líquido eliminador de óxido selectivo BETA,36.30,30.00,24.00,8054809165554,0,3506100000,0,1,"<p>• Líquido eliminador de óxido selectivo a base de agua para hierro, acero, acero inoxidable, fundición y cromados<br>
• Elimina la capa oxidada, sin dañar el sustrato metálico<br>
• Dilución: de puro a máx. 1:1<br>
• Temperatura mínima de funcionamiento: 15 °C<br>
• Tiempos de funcionamiento: 30' - 24/48 h (para óxido fuerte)<br>
• Biodegradable y 100% hidrosoluble<br>
&nbsp;</p>
<p><strong>INSTRUCCIONES DE USO:</strong><br>
• Limpiar previamente la pieza<br>
• Sumergir completamente en el líquido la pieza a decapar<br>
• Después del tratamiento, enjuagar con agua y/o cepillar con delicadeza<br>
• Realizar una prueba antes del uso</p>","
• Líquido eliminador de óxido selectivo a base de agua para hierro, acero, acero inoxidable, fundición y cromados
• Elimina la capa oxidada, sin dañar el sustrato metálico
• Dilución: de puro a máx. 1:1
• Temperatura mínima de funcionamiento: 15 °C
• Tiempos de funcionamiento: 30' - 24/48 h (para óxido fuerte)
• Biodegradable y 100% hidrosoluble
 

INSTRUCCIONES DE USO:
• Limpiar previamente la pieza
• Sumergir completamente en el líquido la pieza a decapar
• Después del tratamiento, enjuagar con agua y/o cepillar con delicadeza
• Realizar una prueba antes del uso",TOOLING & WS,WS,WS. CLEANING SYSTEM,,,,,,,1536,1150,80,80,240,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1147089-1.jpg?context=bWFzdGVyfHJvb3R8NDY5NDh8aW1hZ2UvanBlZ3xhR1ppTDJoaFlpODRNekF4TXpNeE1qYzNOREUzTkM4NE1EQlhlRGd3TUVoZk1URTBOekE0T1MweExtcHdad3w1YmM2Yzc3NjMyN2U2YmQyZjUwNjRkMzUyYTZjZjJjMDljYjAxZWMxYmFmZTYyYjBlMzdmZWMyZDgzZjI3M2Zh,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,https://api.mybihr.com/medias/9882R-Manual.pdf?context=bWFzdGVyfHJvb3R8MTMwMjUyNnxhcHBsaWNhdGlvbi9wZGZ8YURZekwyaGhNeTg0TWprNE1UUXdNalEzTmpVM05DODVPRGd5VWlBdElFMWhiblZoYkM1d1pHWXw5ZGU0ZTgwOTM5N2U1NTVkZDljNmQ2NzZiZDY0NTNkZGM0MTczZjRjODk4Nzc3ZGQ5YWNmYTkzYTJhNTQ0Mzc3,Spain Warehouse (Parts)
1129844,,1895 13,BETA,BETA ULTRA SOUND TANK 13 LITERS,Cubeta de limpieza por ultrasonidos BETA de 13 litros,1056.33,873.00,698.40,8014230872681,0,8479899790,0,1,"<p><strong>Ideal para inyectores y v&aacute;lvulas EGR</strong></p>
<p>Con funci&oacute;n especial de desgasificaci&oacute;n</p>
<ul>
<li>Calienta el l&iacute;quido y con la acci&oacute;n de los ultrasonidos permite limpiar con eficacia piezas de repuesto y piezas met&aacute;licas en general (inyectores, carburadores, v&aacute;lvulas etc.)</li>
<li>Pantalla digital con selecci&oacute;n de la temperatura y del tiempo de limpieza</li>
<li>Funci&oacute;n de lavado doble: ""soft"" y ""normal""</li>
<li>Para una limpieza general es suficiente utilizar agua a una temperatura de 50/60 &deg;C</li>
<li>Para una limpieza m&aacute;s eficaz a&ntilde;ada soluciones detergentes no espum&oacute;genas espec&iacute;ficas para cubetas de ultrasonidos</li>
<li>La funci&oacute;n de desgasificaci&oacute;n acelera la liberaci&oacute;n de aire por todo el volumen de la cubeta aumentando la eficacia de los ultrasonidos</li>
</ul>
<p><strong>Datos t&eacute;cnicos:</strong></p>
<ul>
<li>Capacidad de la cubeta: 13 l</li>
<li>Grifo de desag&uuml;e</li>
<li>Potencia: 300 W</li>
<li>Potencia de calentamiento: 400 W</li>
<li>Selecci&oacute;n de temperatura: 0&divide;80 &deg;C</li>
<li>Selecci&oacute;n tiempo de lavado: 0-99 min</li>
<li>Frecuencia: 40 kHz</li>
<li>Alimentaci&oacute;n: 220/230V</li>
<li>Dimensiones: 350x325x320 mm</li>
<li>Dimensiones cubeta: 325x235x145 mm</li>
<li>Dimensiones cesta: 257x185x100 mm</li>
<li>Capacidad m&aacute;xima: 12 kg</li>
</ul>","
Ideal para inyectores y válvulas EGR

Con función especial de desgasificación

Calienta el líquido y con la acción de los ultrasonidos permite limpiar con eficacia piezas de repuesto y piezas metálicas en general (inyectores, carburadores, válvulas etc.)
Pantalla digital con selección de la temperatura y del tiempo de limpieza
Función de lavado doble: ""soft"" y ""normal""
Para una limpieza general es suficiente utilizar agua a una temperatura de 50/60 °C
Para una limpieza más eficaz añada soluciones detergentes no espumógenas específicas para cubetas de ultrasonidos
La función de desgasificación acelera la liberación de aire por todo el volumen de la cubeta aumentando la eficacia de los ultrasonidos


Datos técnicos:

Capacidad de la cubeta: 13 l
Grifo de desagüe
Potencia: 300 W
Potencia de calentamiento: 400 W
Selección de temperatura: 0÷80 °C
Selección tiempo de lavado: 0-99 min
Frecuencia: 40 kHz
Alimentación: 220/230V
Dimensiones: 350x325x320 mm
Dimensiones cubeta: 325x235x145 mm
Dimensiones cesta: 257x185x100 mm
Capacidad máxima: 12 kg
",TOOLING & WS,WS,WS. CLEANING SYSTEM,,,,,,,94116,12120,515,430,425,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1129844-1.jpg?context=bWFzdGVyfHJvb3R8NDk1MzJ8aW1hZ2UvanBlZ3xhR0l3TDJnM1lTODRORE14TkRJek5EQTVNelU1T0M4NE1EQlhlRGd3TUVoZk1URXlPVGcwTkMweExtcHdad3w4ZGY0Njk5ZDg1MzMxNzdhMzM0MTJhYTE1ZjM4M2E5NzIxNGI4NDdjMmZhYTZlODhkNjk2MTU0YzUxYzNiNTA2,https://api.mybihr.com/medias/800Wx800H-1129844-2.jpg?context=bWFzdGVyfHJvb3R8NTA1Nzd8aW1hZ2UvanBlZ3xhRE5rTDJnNE9DODRORE14TkRJek5EUTROamd4TkM4NE1EQlhlRGd3TUVoZk1URXlPVGcwTkMweUxtcHdad3w5YjVhMjhlNzJhNzc4NDQ4YzI5OWFmZmU1NjM1ZGVmYWY2Yzc3NTEwMTdkOGJlOTA1MGE2MDhhM2I4NTA2NGFh,https://api.mybihr.com/medias/800Wx800H-1129844-4.jpg?context=bWFzdGVyfHJvb3R8NjQxNDl8aW1hZ2UvanBlZ3xhR1JsTDJnNU5TODRORE14TkRJek5EZzRNREF6TUM4NE1EQlhlRGd3TUVoZk1URXlPVGcwTkMwMExtcHdad3w1MzlhMWJlNzc4Mzc4MzJkZTljMDc1NmE4YmZkYTQ1ZTNmZThhNzNmNDljYTRkMzUzZTZlMDc2NDcxMzZjY2I1,https://api.mybihr.com/medias/800Wx800H-1129844-5.jpg?context=bWFzdGVyfHJvb3R8NTY0Nzl8aW1hZ2UvanBlZ3xhRFU0TDJobE55ODRORE14TkRJek5URTBNakUzTkM4NE1EQlhlRGd3TUVoZk1URXlPVGcwTkMwMUxtcHdad3xhODZlZDc4N2FjMTAyZmY5MTZjZWUyMmM2MTRmOTg2ZDI1MGVhYzM0YTk3MzJiYzI5ZjM0ZmMxOTZmZmJlZmJj,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1147088,,098810010,BETA,BETA DÉTERGENT INDUSTRIEL ALCALIN,Detergente industrial alcalino para cubeta de limpieza de ultrasonidos BETA,32.67,27.00,21.60,8054809165547,1,3506100000,0,1,"<p>• Detergente industrial alcalino, concentrado, a base de agua<br>
• Para limpieza por ultrasonidos y otros procesos de purificación<br>
• Permite una limpieza precisa y eficaz de repuestos y piezas metálicas en general (inyectores, carburadores, válvulas, etc.)<br>
• Elimina aceites, grasas, lubricantes, residuos de pegamentos, resinas, ceras<br>
• Adecuado también para la limpieza de piezas de aluminio<br>
• pH 13,5</p>
<p><br>
&nbsp;</p>
<p><strong>DOSIS RECOMENDAD:</strong><br>
• 3-4% (1:30) - suciedad ligera a normal<br>
• 5% (1:20) - suciedad importante<br>
• Temperatura de funcionamiento: &gt;40 °C - para aluminio temperatura máx. recomendada 65 °C<br>
• Después del tratamiento, enjuagar con agua</p>","
• Detergente industrial alcalino, concentrado, a base de agua
• Para limpieza por ultrasonidos y otros procesos de purificación
• Permite una limpieza precisa y eficaz de repuestos y piezas metálicas en general (inyectores, carburadores, válvulas, etc.)
• Elimina aceites, grasas, lubricantes, residuos de pegamentos, resinas, ceras
• Adecuado también para la limpieza de piezas de aluminio
• pH 13,5


 

DOSIS RECOMENDAD:
• 3-4% (1:30) - suciedad ligera a normal
• 5% (1:20) - suciedad importante
• Temperatura de funcionamiento: >40 °C - para aluminio temperatura máx. recomendada 65 °C
• Después del tratamiento, enjuagar con agua",TOOLING & WS,WS,WS. CLEANING SYSTEM,,,,,,,2070,1200,90,100,230,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1147088-1.jpg?context=bWFzdGVyfHJvb3R8NDU3MjZ8aW1hZ2UvanBlZ3xhR1ZtTDJobVppODRNekF4TkRjeU16QTBNek0xT0M4NE1EQlhlRGd3TUVoZk1URTBOekE0T0MweExtcHdad3wwZmI2ODRiZWY3NWRjOTkxODZlNGFlOTczZjM2YzkzOTY2ZWMwYmRmZjg1OTkzYzU2YmI2MmU5NzRhNjRkYWEw,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,https://api.mybihr.com/medias/1147088-Manual.pdf?context=bWFzdGVyfHJvb3R8MzY2MDUzfGFwcGxpY2F0aW9uL3BkZnxhRGMxTDJoaE5pODRNams0TVRRd01qVTBNakV4TUM4eE1UUTNNRGc0SUMwZ1RXRnVkV0ZzTG5Ca1pnfGJjYzEzZDU2MjAwOWQ2ODJlYjRjNzBjNjg4Zjg5OWZmYTAwMWM4NjYyZjVhZWEwMWUzNDE0MDE1YjYxYmZhZTU,Spain Warehouse (Parts)
1148271,,017500500,BETA,BETA LEVER GREASE GUN 500 CC 1750 500,Bomba de engrase con maneta BETA,43.86,36.25,29.00,8014230698625,0,9403208000,0,1,550 bar,550 bar,TOOLING & WS,WS,WS. FURNITURE,,,,,,,4110,1404,408,138,73,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1148271-1.jpg?context=bWFzdGVyfHJvb3R8Mzc0ODF8aW1hZ2UvanBlZ3xhRFl4TDJnellTODRNek0wT0RFd016TTJORFl6T0M4NE1EQlhlRGd3TUVoZk1URTBPREkzTVMweExtcHdad3xjOTYwYmU0NTE0YmYzYWJkYTA4YWNhMWJjYmI3ODlkMTJkNmIwZDJlNGM3NjIxOWUyODFiZDMzODllMjRlNmRl,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1148272,,017500141,BETA,BETA GREASE CARTRIDGES FOR GREASE GUN,Cartucho de grasa universal BETA para bomba de engrase,19.66,16.25,13.00,8054809605715,0,9403208000,0,1,• Temperatura de operación: -20 °C ÷ +130 °C,• Temperatura de operación: -20 °C ÷ +130 °C,TOOLING & WS,WS,WS. FURNITURE,,,,,,,717,440,237,55,55,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1148272-1.jpg?context=bWFzdGVyfHJvb3R8MjkzNzJ8aW1hZ2UvanBlZ3xhR1prTDJnNU5TODRNek0wT0RFd01EYzNOVGsyTmk4NE1EQlhlRGd3TUVoZk1URTBPREkzTWkweExtcHdad3w0YmUzNTFlMGQ2YTY3ODY1NWQ3YTQzMDg1NmVmZmVlYmNkODcwYjRhOWEyNDdlOWY5OWM4YjQ2MTY0ZTk1NzFh,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1050529,,088880010,BETA,BETA PANEL WALL TOOL HOLDER,Panel portaherramientas BETA,270.80,223.80,179.04,8014230755373,1,7326909890,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>Supports all tool hooks available in catalog, to be ordered separately<a id=""_DX_FRAG_ENDFRAGMENT""></a> </p><p> </p><p>LxA : 1000x920mm</p><p>Weight : 10,2kg</p></body> </html>","       Supports all tool hooks available in catalog, to be ordered separately  LxA : 1000x920mmWeight : 10,2kg ",TOOLING & WS,WS,WS. FURNITURE,,,,,,,39576,8740,1020,970,40,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1050529-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA1MjUzfGltYWdlL2pwZWd8YURkbUwyaGlOaTg0T1RRMk1EWXdNell4TnpVNEx6RXdOVEExTWprdE1WODRNREJYZURnd01FZ3wzNmVjNzMyNzUzNzY0NzQ0NzEwMmRiOTU3YzgyMjUzZGMzOGQ5YTU5MmUzN2U3YmJkZTc1ZDFlNmJkNThkYjlj,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1050531,,088880120,BETA,BETA EXP SCREW EXPANSION SCRW,BETA Tornillo de expansión para mobiliario de taller,0.76,0.63,0.50,8014230014579,0,8308100090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>Accessory for sheet metal containers<a id=""_DX_FRAG_ENDFRAGMENT""></a> </p><p> </p></body> </html>","       Accessory for sheet metal containers   ",TOOLING & WS,WS,WS. FURNITURE,,,,,,,4,5,20,20,10,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1050531-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTgyNDV8aW1hZ2UvanBlZ3xhREUxTDJnNU5pODRPVEF5TWpRM016VXdNekF5THpFd05UQTFNekV0TVY4NE1EQlhlRGd3TUVnfGY3YTNmNDI2NGRiYjcxMjdiMGI1OGE2NWJjZjFmOWIxYzAxNTc2NWM1ZmM4NWYxZmRhZTc3ZjliNmJlODAwNjE,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1050537,,088880255,BETA,BETA SPRING HOOK SPRING CONNECT. Ø25,BETA Gancho de muelle para muebles de taller Ø25mm aluminio con tornillo,6.99,5.78,4.62,8014230379692,0,8308100090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>Accessory for sheet metal containers<a id=""_DX_FRAG_ENDFRAGMENT""></a> </p><p> </p></body> </html>","       Accessory for sheet metal containers   ",TOOLING & WS,WS,WS. FURNITURE,,,,,,,134,13,71,65,29,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1050537-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc3NjF8aW1hZ2UvanBlZ3xhR0V6TDJoaE15ODRPVEF5TWpRM056UXpOVEU0THpFd05UQTFNemN0TVY4NE1EQlhlRGd3TUVnfDhlNGZlMTJkNTc0ZDFkOTE1MDc2ZWQzODc5NTFlMzFlMDA5ZWEyMGNlY2QxNDk4M2RjOGVlNjJmYWYyYTg2OTg,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1050533,,088880251,BETA,"BETA SPRING HOOK SPRING CONNECT.Ø9,5","BETA Gancho de muelle para muebles de taller Ø9,5mm aluminio con tornillo",6.93,5.73,4.58,8014230379654,0,8308100090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>Accessory for sheet metal containers<a id=""_DX_FRAG_ENDFRAGMENT""></a> </p><p> </p></body> </html>","       Accessory for sheet metal containers   ",TOOLING & WS,WS,WS. FURNITURE,,,,,,,193,10,83,83,28,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1050533-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc3NjF8aW1hZ2UvanBlZ3xhRGMyTDJnMk5DODRPVFV6T0RVek1UUTVNakUwTHpFd05UQTFNek10TVY4NE1EQlhlRGd3TUVnfDVlZjNkZGE4MGU1MzEyNzE2Yzg1ZDJiNmY0YTFlNzkwMWI3YWU0ZDZmYmVjMjJjZTc2ZDNiYjI2ZWQwNjliNzE,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1050534,,088880252,BETA,BETA SPRING HOOK SPRING CONNECT. Ø13,BETA Gancho de muelle para muebles de taller Ø13mm aluminio con tornillo,7.05,5.83,4.66,8014230379661,0,8308100090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>Accessory for sheet metal containers<a id=""_DX_FRAG_ENDFRAGMENT""></a> </p><p> </p></body> </html>","       Accessory for sheet metal containers   ",TOOLING & WS,WS,WS. FURNITURE,,,,,,,193,10,83,83,28,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1050534-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc3NjF8aW1hZ2UvanBlZ3xhREk1TDJnNU9TODRPVEkzTmpJd05UTXdNakEyTHpFd05UQTFNelF0TVY4NE1EQlhlRGd3TUVnfGRmYjgzMTQwNWY5YzQ0NTYzMDcyMjEzMWE3MTE0NjQ5NTZiMDY1MzEzOGNhNTBhMGQ3YTUxZDI3NDAwMzFhNGI,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1050527,51100040,056000201,BETA,BETA WORKBENCH WORKBENCH,Banco de trabajo BETA,1193.06,986.00,788.80,8014230638669,0,9403901090,0,0,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li><a id=""_DX_FRAG_STARTFRAGMENT""></a>Worktop made of painted sheet metal with external edge</li><li>Steel frame with 6 supporting legs</li><li>Static load capacity: 1200 kg</li><li>Matches panel toolholder 51100039 ; cannot be fixed to worktop</li><li>Two drawers with lock</li><li>Can be fixed to floor<a id=""_DX_FRAG_ENDFRAGMENT""></a> </li><li>2000x640x930mm</li></ul> <p> </p><p>Weight of 82kg</p></body> </html>","        Worktop made of painted sheet metal with external edgeSteel frame with 6 supporting legsStatic load capacity: 1200 kgMatches panel toolholder 51100039 ; cannot be fixed to worktopTwo drawers with lockCan be fixed to floor 2000x640x930mm  Weight of 82kg ",TOOLING & WS,WS,WS. FURNITURE,,,,,,,776832,106000,2040,680,560,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1050527-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTExMzc2fGltYWdlL2pwZWd8YUdRNUwyZzRNeTg0T0RjME16azBOelEyT1RFd0x6RXdOVEExTWpjdE1WODRNREJYZURnd01FZ3xlYTE4M2I3MWJlMGMwY2ZmY2YzNTEyZjNlNGU3ZTA5ZDEwMzAxZTM1OGQ0YWQ2ZWMyMGE4MmUyOWIxNDgxYmVl,https://api.mybihr.com/medias/1050527-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTc4OTU3fGltYWdlL2pwZWd8YUdGaEwyZzRZUzg0T0RjME16azBPVFF6TlRFNEx6RXdOVEExTWpjdE1sODRNREJYZURnd01FZ3xmZjM3NDc3ZjdkOGUxNmY2NTVmNDEyMDAxMzA0MGQyMGM5Y2NlZGU4MmQyMzBhZjhhNTZjZjAzZjRmOGZmYTY3,https://api.mybihr.com/medias/1050527-3-800Wx800H?context=bWFzdGVyfHJvb3R8NDA4ODd8aW1hZ2UvanBlZ3xhREkyTDJoa09TODRPRGMwTXprMU1UUXdNVEkyTHpFd05UQTFNamN0TTE4NE1EQlhlRGd3TUVnfDkyMDAwZWM3ZDAzYTBhNDgwZTk2NTY3MTcyZjI2MGFiYjQxYmIxOTYzNjgzY2U4OTczYjdiY2RlMmU3NzExNDY,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
1050530,,088880119,BETA,BETA HOOK+SCREW HOOK SET + SCREW VE1,BETA Kit de gancho + tornillo para muebles de taller,2.07,1.71,1.37,8014230380209,4,8308100090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>Accessory for sheet metal containers<a id=""_DX_FRAG_ENDFRAGMENT""></a> </p><p> </p></body> </html>","       Accessory for sheet metal containers   ",TOOLING & WS,WS,WS. FURNITURE,,,,,,,74,2,62,70,17,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1050530-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjkwNTF8aW1hZ2UvanBlZ3xhR0k1TDJneU1DODRPVEkwT0RjM05EVTFNemt3THpFd05UQTFNekF0TVY4NE1EQlhlRGd3TUVnfDhkYWVjNzdlYTljNDA5ODJhMzNmMjQ0Y2YxYTM3NTI3YTQ5OWRmM2E5MjU2ODYxZDE2NGIwOWMzY2E4MWJlOGU,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BETA-pictures.zip,,Spain Warehouse (Parts)
