PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Uso recomendado,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,AllPicturesZIP,Document1,DeliveryPlant
1104705,15220,TBA600,SUPER B,SUPEB 25PCS BICYCLE TOOL SET,Maletín herramientas 25Pcs,150.00,123.97,49.00,4712765143682,18,8205510000,0,1,"Maletín de herramientas 25 piezas.<br>Para ciclistas particulares y mecánicos aficionados o a domicilio.<br>Incluye:<br>- 1 Remacha cadenas 8/9/10 vel.<br>- 1 destornillador PH2.<br>- 1 llave tubo 8mm + cabezal 1/2'' para llave de par.<br>- 1 extractor de biela 2 en 1 standard y para Shimano® ISIS y Octalink con caja de 14mm.<br>- 6 llaves de Allen: 2/2.5/3/4/5/6mm.<br>- 3 Desmontables.<br>- 1 llave de pedales 15mm.<br>- 1 llave de conos doble 8x10mm.<br>- 1 extractor de cassette para Shimano® HG.<br>- 1 llave suelta coronas y cassettes 5-10 vel.<br>- 2 llaves de conos dobles: 13x14mm, 15x17mm.<br>- 1 llave doble para juego de dirección 30/32-36/40mm.<br>- 1 Llave de bielas Shimano® y Truvativ®.<br>- 1 llave de cartucho pedalier para Shimano® Hollowtech II & Truvativ® GXP & FSA®.<br>- 1 Llave de radios ""O"".<br>- 1 Extractor de cazoletas pedalier Shimano® y sistemas de transmisión ISIS.<br>- 1 kit de parches.","Maletín de herramientas 25 piezas.Para ciclistas particulares y mecánicos aficionados o a domicilio.Incluye:- 1 Remacha cadenas 8/9/10 vel.- 1 destornillador PH2.- 1 llave tubo 8mm + cabezal 1/2'' para llave de par.- 1 extractor de biela 2 en 1 standard y para Shimano® ISIS y Octalink con caja de 14mm.- 6 llaves de Allen: 2/2.5/3/4/5/6mm.- 3 Desmontables.- 1 llave de pedales 15mm.- 1 llave de conos doble 8x10mm.- 1 extractor de cassette para Shimano® HG.- 1 llave suelta coronas y cassettes 5-10 vel.- 2 llaves de conos dobles: 13x14mm, 15x17mm.- 1 llave doble para juego de dirección 30/32-36/40mm.- 1 Llave de bielas Shimano® y Truvativ®.- 1 llave de cartucho pedalier para Shimano® Hollowtech II & Truvativ® GXP & FSA®.- 1 Llave de radios ""O"".- 1 Extractor de cazoletas pedalier Shimano® y sistemas de transmisión ISIS.- 1 kit de parches.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,7929,2834,342,276,84,Todos,https://api.mybihr.com/medias/1104705-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDQ3MTk3fGltYWdlL3BuZ3xhR1k1TDJnMVpDOHhNRGd5TXpJM05qVTJNRFF4TkM4eE1UQTBOekExTFRGZk9EQXdWM2c0TURCSXwyODliYTRmMTg3YzRlMWFjZTcwNGZiNzI4OTEwOTAwN2I4Nzc3MmM1OGYyZjg5MDEzMTVkNzZhMjNkM2FmNjAw,,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1101245,14315,TB-WS20,SUPER B,SUPEB PROFESSIONAL WORK STAND 43-60,Caballete de trabajo profesional Super B de doble pata,229.50,189.67,123.29,4712765146836,0,8714109090,0,1,"Versión ajustada a espacios reducidos.<br>- Altura ajustable (106-144cm).<br>- Abrazadera sujeción de cuadros Ø desde 24mm hasta 70mm, incluye un reductor de 85mm para zonas de tensión.<br>- Con función de ajuste ultra-rápido.<br>- Abrazadera giratoria 360º para facilitar el acceso a cualquier zona.<br>- Peso: 6.18 kg.<br>- Carga máxima: 35 kg.<br>- Incluye bandeja de herramientas (TB-WS11) adaptable al tubo. Herramientas no incluídas.","Versión ajustada a espacios reducidos.- Altura ajustable (106-144cm).- Abrazadera sujeción de cuadros Ø desde 24mm hasta 70mm, incluye un reductor de 85mm para zonas de tensión.- Con función de ajuste ultra-rápido.- Abrazadera giratoria 360º para facilitar el acceso a cualquier zona.- Peso: 6.18 kg.- Carga máxima: 35 kg.- Incluye bandeja de herramientas (TB-WS11) adaptable al tubo. Herramientas no incluídas.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,52390,6600,1300,260,155,,https://api.mybihr.com/medias/800Wx800H-1101245-1.jpg?context=bWFzdGVyfHJvb3R8MjExNjF8aW1hZ2UvanBlZ3xhREEzTDJneVlTODVOekl3TkRNeE16Z3hOekV4T0M4NE1EQlhlRGd3TUVoZk1URXdNVEkwTlMweExtcHdad3xlMzcxMWVjZDMwOTQxOTEyMjIxYWZjZmQ4ZDA2N2EzMmQ2YzA2N2ZiZWM3NGJhZTEwZDZkMTYwMjZhNTI2NjA4,https://api.mybihr.com/medias/800Wx800H-1101245-2.jpg?context=bWFzdGVyfHJvb3R8MjQyOTc4fGltYWdlL2pwZWd8YURjekwyZ3lOQzg1TnpJd05ETXhOREF4TXpjeU5pODRNREJYZURnd01FaGZNVEV3TVRJME5TMHlMbXB3Wnd8MDhmZDM5MmY5MTI1YTJiZGZmN2QwZDY4OGUxYzcwZGQyYjFiNDNjODNmMTA0YzFkMmM4YTI4NDVlNjJiNWMzNw,https://api.mybihr.com/medias/800Wx800H-1101245-3.jpg?context=bWFzdGVyfHJvb3R8MjEwOTY0fGltYWdlL2pwZWd8YURRMEwyZ3lZaTg1TnpJd05ETXhOREl4TURNek5DODRNREJYZURnd01FaGZNVEV3TVRJME5TMHpMbXB3Wnd8N2Y3Y2E1M2YwZTg0YjU2ODFmMDU2MjcyYjZmYThlNTNiMzc1YTM4NzRiYTE3Y2M1NTIzZTk1YmMxZjRhMWE3ZQ,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1104635,14319,TB-1305-M,SUPER B,SUPEB MECHANIC`S OFFICIAL T-SHIRT. M,Camisa mecanico Super B M - REF TB-1305-M,69.99,57.84,27.00,8430525143197,6,8205510000,0,1,Camisa de mecánico oficial Super B. Especialmente diseñada para el trabajo en taller. Material y costuras de alta resistencia y durabilidad. Color negro/gris. Logos bordados. Con cremallera y bolsillo. Talla M,Camisa de mecánico oficial Super B. Especialmente diseñada para el trabajo en taller. Material y costuras de alta resistencia y durabilidad. Color negro/gris. Logos bordados. Con cremallera y bolsillo. Talla M,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,3929,387,363,264,41,Todos,https://api.mybihr.com/medias/1104635-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDk2ODkwfGltYWdlL3BuZ3xhREZrTDJnd1l5OHhNRGd5TXpFNE1UVXpNekl4TkM4eE1UQTBOak0xTFRGZk9EQXdWM2c0TURCSXxlMDg3NTg3ZjE2YWIyOWVlZmU0NzIwOGQ4YmQ1MWQzZDA3ODZjZjY4NzlkOGExZmRkODI2YWM4YTZjNWEwZGVm,,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1104631,14314,TB-WR11,SUPER B,SUPEB DOUBLE-ENDED WRENCH 9X11MM,Herramienta Super B - REF TB-WR11,5.00,4.13,1.00,4712765142944,102,8205510000,0,1,"• Llave compacta diseñada para profesionales, mecánicos aficionados y equipos de competición.<br>• Hecho de acero Cr-Mo tratado térmicamente y de alto grado para mayor dureza y durabilidad.<br>• Extremo del cono específicamente diseñado para un fácil acceso al área más estrecha facilitando una reparación rápida.<br>• Adecuado para frenos, cambios, etc.<br>• Especificaciones: 9 x 11 mm.","• Llave compacta diseñada para profesionales, mecánicos aficionados y equipos de competición.• Hecho de acero Cr-Mo tratado térmicamente y de alto grado para mayor dureza y durabilidad.• Extremo del cono específicamente diseñado para un fácil acceso al área más estrecha facilitando una reparación rápida.• Adecuado para frenos, cambios, etc.• Especificaciones: 9 x 11 mm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,101,40,196,86,6,Todos,https://api.mybihr.com/medias/1104631-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgwODJ8aW1hZ2UvcG5nfGFESmtMMmczTWk4eE1EZ3lNekUzT1RVd01UVTVPQzh4TVRBME5qTXhMVEZmT0RBd1YzZzRNREJJfDc4NTliZjFmMDhiM2FkNmY5YjdiNzJiZjY5OGNkOWFjMzcxZTZkOGIwYTUwMjQ5NjgxMzBlMWM0NWVmZTc5MDM,,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1104640,14382,TB-FD40-ORANGE,SUPER B,SUPEB 17 IN 1 FOLDING TOOL,Herramienta plegable 18 funciones Super B - REF TB-FD40-ORANGE,31.50,26.03,8.99,4712765146331,32,8205510000,0,1,Herramienta multifunción plegable. 17 funciones:<br>Llave Torx T25; Llaves Allen 2/2.5/3/4/5/6/8; Destornillador Philips 1; Destornillador plano 3mm; Remacha cadenas; 2 Desmontables; Llave de radios 3.2/3.5/3.3/3.5mm.<br>Color naranja.,Herramienta multifunción plegable. 17 funciones:Llave Torx T25; Llaves Allen 2/2.5/3/4/5/6/8; Destornillador Philips 1; Destornillador plano 3mm; Remacha cadenas; 2 Desmontables; Llave de radios 3.2/3.5/3.3/3.5mm.Color naranja.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,336,190,140,80,30,Todos,https://api.mybihr.com/medias/1104640-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU3MDk1fGltYWdlL3BuZ3xhRGd5TDJoaU9TOHhNRGd5TXpFNE16RXdOakEzT0M4eE1UQTBOalF3TFRGZk9EQXdWM2c0TURCSXxiZDJkYzE4YTdjM2YzOGNiZDMxMTIwNmI2YTgwNjcyNDY2OTViNzc3MDM3ZjY0MGI0NzRmZDAyNTBiMDQ5ODM5,,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1104854,32671,TB-1909,SUPER B,SUPEB STORAGE STAND DOUBLE SUPP. E-BIKES,Stand bicicleta deluxe reforzado Super B,72.50,59.92,29.36,8430525326712,19,8714999089,0,1,"Expositor bicicleta profesional Deluxe. Plegable.<br>Construcción doble reforzada para E-Bikes y bicicletas especialmente pesadas.<br>- Ideal para tienda y garaje. Muy fácil de usar.<br>- Para todo tipo de rueda desde 20’’ hasta 29’’.<br>- Evita el contacto con los radios, la llanta y/o el cambio.","Expositor bicicleta profesional Deluxe. Plegable.Construcción doble reforzada para E-Bikes y bicicletas especialmente pesadas.- Ideal para tienda y garaje. Muy fácil de usar.- Para todo tipo de rueda desde 20’’ hasta 29’’.- Evita el contacto con los radios, la llanta y/o el cambio.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,18426,2634,470,396,99,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104854-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTg1NjM0fGltYWdlL3BuZ3xhRFkzTDJoaFpTOHhNRGd5TXpJNU16QXdPVGsxTUM4eE1UQTBPRFUwTFRGZk9EQXdWM2c0TURCSXw1MTI0YTg4NmVlYWJmNWNjYzBkOTA4YTkxYjIyMDU3OThkNmE2NWU2MTQxZTI3OGM0Nzg4MWZlODU0ZmRmMmQ5,,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1104697,15210,TB-DS20,SUPER B,SUPEB TABLETOP DIGITAL SCALE BIKE PARTS,Báscula digital,45.00,37.19,15.00,4712765147703,25,8205510000,0,1,Diseñada especialmente para pesar componentes y piezas de tamaño reducido con gran precisión.<br>Funciones de tarado y auto apagado.<br>Para pesos desde 1gr hasta 3kg.<br>Requiere 1 pila de 3V (No incluída),Diseñada especialmente para pesar componentes y piezas de tamaño reducido con gran precisión.Funciones de tarado y auto apagado.Para pesos desde 1gr hasta 3kg.Requiere 1 pila de 3V (No incluída),VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,2802,313,220,199,64,Todos,https://api.mybihr.com/medias/1104697-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA1MDE0fGltYWdlL3BuZ3xhRFk1TDJoaE5TOHhNRGd5TXpJM01qQXpPRFF6TUM4eE1UQTBOamszTFRGZk9EQXdWM2c0TURCSXwxMzA5NDQ0YTU1Njc3ZWQ1MzVkOGZkOGViYTUzYWExNTAxMjI5NDlkODlmMjNlMDIwMzI3YWM3MjQ5YmViOWM4,,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1104842,29616,TB-BB40,SUPER B,SUPEB BB WRENCH SHI. & CAMPAG,Llave de cartucho pedalier cerrada,37.50,30.99,11.99,8430525296169,20,8205510000,0,1,"Su casquillo especial aumenta el área de contacto entre la llave y el componente a trabajar, especialmente cómod a la hora de trabajar cartuchos de pedalier.<br>Desmonta e instala cartuchos pedalier con rodamiento externo como Shimano® Hollowtech II, Truvativ® GXP, FSA® MegaExo, Campagnolo® Ultra-Torque, TOKEN® y muchos otros similares.<br>Incluye un instalador de bielas TB-8911.","Su casquillo especial aumenta el área de contacto entre la llave y el componente a trabajar, especialmente cómod a la hora de trabajar cartuchos de pedalier.Desmonta e instala cartuchos pedalier con rodamiento externo como Shimano® Hollowtech II, Truvativ® GXP, FSA® MegaExo, Campagnolo® Ultra-Torque, TOKEN® y muchos otros similares.Incluye un instalador de bielas TB-8911.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,844,428,391,83,26,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104842-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTY0NjN8aW1hZ2UvcG5nfGFERXlMMmcyTnk4eE1EZ3lNekk0T1RRd05UUTNNQzh4TVRBME9EUXlMVEZmT0RBd1YzZzRNREJJfDliNzk5ZTAwOTFkOGMzMzI4N2RkYjQzMTdjZDI3ZTYwZWU2NDYxNzhkN2Y3Y2E0OWFhZGQ4YTM5YjdjZTg1MzA,,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1101219,14273,TB-76160,SUPER B,SUPEB 8 L ALLEN WRENCH SET,Set de 8 llaves L Allen,73.50,60.74,39.48,4712765146928,0,8204200000,0,1,"Set de 8 llaves “L” Allen con mango especial.<br>2/2.5/3/4/5/6/8/10 mm.<br>Acero de alta calidad tratado en caliente.<br>Con agarre de goma termoplástica para el mejor confort. Especialmente diseñado para su uso en taller profesional, incluye expositor en forma de L, para situar en mesas o estaciones de trabajo, y asidero metálico para sostener trapos y otros similares de trabajo.","Set de 8 llaves “L” Allen con mango especial.2/2.5/3/4/5/6/8/10 mm.Acero de alta calidad tratado en caliente.Con agarre de goma termoplástica para el mejor confort. Especialmente diseñado para su uso en taller profesional, incluye expositor en forma de L, para situar en mesas o estaciones de trabajo, y asidero metálico para sostener trapos y otros similares de trabajo.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,5421,1168,306,172,103,,https://api.mybihr.com/medias/1101219-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTg4MjMxfGltYWdlL2pwZWd8YURnNUwyZzVOaTg1TmpNeE5UYzJPREUzTmprMEx6RXhNREV5TVRrdE1WODRNREJYZURnd01FZ3xlM2NhNDQxMDhjNzQxMjcxNWU2OGRlODU0YTE4NDgyZDQ5OTQ5ZjE4ZWEyYTRkN2QzMmU3ZmIxOWY0YWQ2YmFm,https://api.mybihr.com/medias/1101219-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTYxNzYyfGltYWdlL2pwZWd8YUROa0wyZzBNUzg1TmpNeE5UYzNNakV3T1RFd0x6RXhNREV5TVRrdE1sODRNREJYZURnd01FZ3w4MWE2YWQ3MmMyNjRjZDliZTFjNzFiMzcyZWFmN2ViZDk5YWJmYzZhMTlkNTBhYjg3ZTBlNDljZWIyNDliYjkz,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1104427,12031,TB-1935,SUPER B,SUPEB BEARING CUP PRESS,Llave prensa cazoletas dirección. - REF TB-1935,182.50,150.83,60.33,4712765145402,11,8205510000,0,1,"Para medidas: 1’’, 1-1/8’’, 1.25’’ y 1.5’’.<br>Construido en acero de alta calidad tratado en caliente para una larga durabilidad. Rápido y fácil de usar en juegos dirección a rosca o A-Head, asegura una instalación perfecta del juego de dirección y evita daños al cuadro. Modelo actualizado, mangos situados en forma de “Y” para facilitar su uso.","Para medidas: 1’’, 1-1/8’’, 1.25’’ y 1.5’’.Construido en acero de alta calidad tratado en caliente para una larga durabilidad. Rápido y fácil de usar en juegos dirección a rosca o A-Head, asegura una instalación perfecta del juego de dirección y evita daños al cuadro. Modelo actualizado, mangos situados en forma de “Y” para facilitar su uso.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,2738,2804,379,86,84,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/800Wx800H-1104427-1.jpg?context=bWFzdGVyfHJvb3R8MzI2Nzl8aW1hZ2UvanBlZ3xhRFJtTDJoaFppODFNRFV4T0RNeE9ERXlNRGs1TUM4NE1EQlhlRGd3TUVoZk1URXdORFF5TnkweExtcHdad3xlZDNiYjU2M2Y5ZWU5MTMzZmMzZWI4NmU1ZGE4MWI3MzU2NmExNWNlZWVmZWNkOTJjYjM3YjVmM2I3ZDBjMDU5,https://api.mybihr.com/medias/800Wx800H-1104427-2.jpg?context=bWFzdGVyfHJvb3R8NjIyMTF8aW1hZ2UvanBlZ3xhREJqTDJoaU5pODFNRFV4T0RNeE9ETXhOelU1T0M4NE1EQlhlRGd3TUVoZk1URXdORFF5TnkweUxtcHdad3xhOTE5YWM1MzdhYWE3Y2E2MGZjNmQwNTkwZWExYTMwOWZlNjk2NmYyOGMxMTVlOTA1NTM5ZTk3ZTgzMDE0ZWM2,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1104431,12037,TB-1020,SUPER B,SUPEB FREEWHEEL REMOVER,Extractor Cassette Shimano HG. Con Guía - REF 1020,12.00,9.92,6.45,4712765143477,15,8205510000,0,1,"Extractor piñón con guía. Para Shimano® HG, SRAM®, SunRace®,<br>SunTour®, Chris King® y discos de freno Shimano Center Lock. Girar con una llave de 24mm o con TB-8830.","Extractor piñón con guía. Para Shimano® HG, SRAM®, SunRace®,SunTour®, Chris King® y discos de freno Shimano Center Lock. Girar con una llave de 24mm o con TB-8830.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,264,50,143,77,24,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104431-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTEwODY0fGltYWdlL3BuZ3xhRGczTDJneVlTOHhNRGd5TXpRMk1UYzVOemt4T0M4eE1UQTBORE14TFRGZk9EQXdWM2c0TURCSXxjNDkwODc5YzBiMmE5YWVkY2RiZjUyYTBlNmY1OWFjNjM3MDBkNzc4YWE3OWVlYjkxMWUwNDBmNmRlYzRhNTNi,,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1104861,35306,TB-8868,SUPER B,SUPEB FREEWHEEL TURNER 9-10-11 SPD,Suelta coronas para 11 velocidades Super B TB-8868,31.50,26.03,10.50,8430525353060,41,8205510000,0,1,Usar en combinación con TB-FW30 / TB-CP15 / TB-1445 / TB-1465.<br>Específico para cassetes de 9-10-11 velocidades.,Usar en combinación con TB-FW30 / TB-CP15 / TB-1445 / TB-1465.Específico para cassetes de 9-10-11 velocidades.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,616,255,335,80,23,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104861-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ1OTczfGltYWdlL3BuZ3xhRGszTDJnMU5TOHhNRGd5TXpJNU56QXdOelkwTmk4eE1UQTBPRFl4TFRGZk9EQXdWM2c0TURCSXw3NzlhMTE1ZGE3MmQzNWUwMzQ0MTRiMTRkMmFiMGViMDU4YTFmODFjZGMzMmU3ODUxNzgzZDY2ZjFhNDkzNzM2,,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1101276,14381,TB-FD20-ORANGE,SUPER B,SUPEB 19 FUNCTIONS FOLDING TOOL,Herramienta plegable 18 funciones,36.99,30.57,12.23,4712765146270,25,8714109090,0,1,Herramienta multifunción plegable. 18 funciones:<br>Llaves Torx T25/T30; Llaves Allen 2/2.5/3/4/5/6/8; Destornillador PH1; Remacha cadenas; 2 Desmontables; Llave de radios 3.2/3.5/3.3/3.5mm; sujeta pasador de eslabón.<br>Color naranja. Incluye funda de tela suave.,Herramienta multifunción plegable. 18 funciones:Llaves Torx T25/T30; Llaves Allen 2/2.5/3/4/5/6/8; Destornillador PH1; Remacha cadenas; 2 Desmontables; Llave de radios 3.2/3.5/3.3/3.5mm; sujeta pasador de eslabón.Color naranja. Incluye funda de tela suave.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,364,161,146,86,29,,https://api.mybihr.com/medias/1101276-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTg3Mzc4fGltYWdlL2pwZWd8YURkaEwyaGxZeTg1TmpNeE5UVTVNRFUzTkRNNEx6RXhNREV5TnpZdE1WODRNREJYZURnd01FZ3wyYWI5M2VkZTYzOTQxMmQzNzIwZGNkODAyZjgwYjNhNGIzYzg3M2NlNjJmMmQ1YjAyZjc2MTgwOGZhMDdlNGY5,https://api.mybihr.com/medias/1101276-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4NTczfGltYWdlL2pwZWd8YURGaUwyaG1ZUzg1TmpNeE5UVTVORFV3TmpVMEx6RXhNREV5TnpZdE1sODRNREJYZURnd01FZ3xkYTUyMWFkNTUzZjZmMGU3ODU4NDY4OGQ1ZTk1ZmEwOTY1OTk1MDkxM2Y4ZWVkYjFkMzEwOTFkY2ZlYmJhODM5,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
1101261,13541,TB-3326,SUPER B,SUPEB CHAIN CONTROLLER 2 IN 1 + HOOK,Comprobador de cadena SUPER B - 2 en 1 + Gancho,13.00,10.74,6.98,4712765143200,74,8714109090,0,1,2 en 1. Medidor + Gancho de cadena para realizar operaciones de cambio de cadena.<br>Acero de alta calidad con troquelado de máxima precisión mediante láser.<br>Cuando la cadena tienen entre el 0.75% y el 1% de holgura debe sustituirse.<br>El ganchio de cadena es un deber para todo mecánico cuando se instala o quita una cadena.,2 en 1. Medidor + Gancho de cadena para realizar operaciones de cambio de cadena.Acero de alta calidad con troquelado de máxima precisión mediante láser.Cuando la cadena tienen entre el 0.75% y el 1% de holgura debe sustituirse.El ganchio de cadena es un deber para todo mecánico cuando se instala o quita una cadena.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,210,59,181,83,14,,https://api.mybihr.com/medias/1101261-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMwNDY2fGltYWdlL2pwZWd8YUdJeUwyZ3dPUzg1TmpNeE56UXpNVFE0TURZeUx6RXhNREV5TmpFdE1WODRNREJYZURnd01FZ3xiNGZmNjAwMTJkYWU4NGQwNDU4YmNjYWNkM2U4YTk1Mzg1MjAwNzAwZThjMzA3ZDMxMTVlMjdhYzg5Zjg3YzY2,https://api.mybihr.com/medias/1101261-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzMyODUyfGltYWdlL2pwZWd8YUdWbEwyZ3dNeTg1TmpNeE56UXpOVFF4TWpjNEx6RXhNREV5TmpFdE1sODRNREJYZURnd01FZ3wxMTBiNTU4OGJlYmQ4MDczNDc3M2FhYjExNzI0ZDI5YTkyODA0MjFmZjVlNjg2YWUyZDM5NTliYTMwOTY4MDJl,,,,,,,https://static.bihr.pro/eBihr/Pictures/SUPER_B-pictures.zip,,Spain Warehouse (Parts)
