PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Diámetro int/ext (mm/mm),Especificaciones,Número de fases,Referencias OEM,Voltaje,Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1107814,,270-001,ELECTROSPORT,ELECT STATOR ESG 010,Estátor ELECTROSPORT ESG010,142.31,117.61,64.69,799804154506,11,8511800090,0,1,"<p>ELECTROSPORT stator ESG010<br>
<br>
Fitting for:<br>
Kawasaki Z 1000 MK2 year 1979-80<br>
Kawasaki Z 1000 ST year 1979-80<br>
Kawasaki Z 1300 A year 1979-81<br>
Kawasaki ZR-7 750 F year 1999- 2004<br>
Kawasaki ZR-7 750 S year 1979-80<br>
Kawasaki Z 1000 ST year 1979-80<br>
Kawasaki Z 1300 A year 1979-81<br>
Kawasaki ZR-7 750 F year 1999- 2004<br>
Kawasaki ZR-7 750 S year 2004 2001- 2004<br>
Suzuki GR 650 year 1983<br>
<br>
measurements:<br>
outer diameter: 93 mm<br>
inner diameter: 35 mm<br>
iron core thickness: 20 mm<br>
coil thickness: 30 mm<br>
<br>
note: Technically modified stators are excluded from exchange!</p>","
ELECTROSPORT stator ESG010

Fitting for:
Kawasaki Z 1000 MK2 year 1979-80
Kawasaki Z 1000 ST year 1979-80
Kawasaki Z 1300 A year 1979-81
Kawasaki ZR-7 750 F year 1999- 2004
Kawasaki ZR-7 750 S year 1979-80
Kawasaki Z 1000 ST year 1979-80
Kawasaki Z 1300 A year 1979-81
Kawasaki ZR-7 750 F year 1999- 2004
Kawasaki ZR-7 750 S year 2004 2001- 2004
Suzuki GR 650 year 1983

measurements:
outer diameter: 93 mm
inner diameter: 35 mm
iron core thickness: 20 mm
coil thickness: 30 mm

note: Technically modified stators are excluded from exchange!",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,1617,680,200,137,59,,,,,12V,https://api.mybihr.com/medias/1107814-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMyOTMyfGltYWdlL2pwZWd8YURreEwyaGlOaTh4TlRJMk5EQTRNalEyTURjd01pOHhNVEEzT0RFMExURmZPREF3VjNnNE1EQkl8MmI2NzVjZjA1OWM3ZTVlMWI5ZjAxNjcyNWRlYTEzNzc5YjhkYjllN2VjMDYwYTJkN2ZhOTY1MDI1ZmFlN2ViNw,https://api.mybihr.com/medias/1107814-2-800Wx800H?context=bWFzdGVyfHJvb3R8ODIyMzZ8aW1hZ2UvanBlZ3xhREZsTDJoak5DOHhOVEkyTkRBNE1qZzFNemt4T0M4eE1UQTNPREUwTFRKZk9EQXdWM2c0TURCSXxhZTdiY2RkNWEwMTgyYTFlOGVjMTM5MTg1ZTRkYmVkNDA4M2MzZTIzNjJjYjU2MDk2MDMzZjQxMjZmMTFlZjNh,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077911,014553,ESR269,ELECTROSPORT,ELECT REGULATOR,Regulador ELECTROSPORT,156.30,129.17,71.04,ESR269,0,9032890040,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport regulators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport regulators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1251,386,191,131,50,,,,,,https://api.mybihr.com/medias/1077911-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzkzMjJ8aW1hZ2UvanBlZ3xhRFl4TDJnNVlpODRPVGMyT1RrM09UQTROVEV3THpFd056YzVNVEV0TVY4NE1EQlhlRGd3TUVnfDRjYzIzODNiODkyNDQ2MmNkZjUyOTNiMzBhNTI5OGVjNzAzNWY5MGI1ODU5OWRkMzkzZjk3ZGQ4Mzc2ZjYyYmU,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1078025,17367,ESG221,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - GSXR750 06-07,219.98,181.80,99.99,7998041551830,47,8511900090,0,1,"
<p>ElectroSport manufactures ESG221 using a modern stator core made of magnetically highly conductive material to limit magnetic losses. We use the highest grade copper wire for the windings that are installed using our computer controlled winding machines for optimum winding quality.</p>
<p>Due to the high quality materials and better production processes as well as a modified winding configuration this ESG221 stator generates less heat than the stock unit which dramatically improves reliability.</p>
<p>We use the best quality lead wires with insulation that is both very abrasion and heat resistant, and we install the rubber seals and connectors to be an exact fit in the bike.</p>
<p>ESG221 offers superior performance and reliability compared to the OEM stator and like all stators manufactured by ElectroSport it is also covered by a full one year warranty.</p>","

ElectroSport manufactures ESG221 using a modern stator core made of magnetically highly conductive material to limit magnetic losses. We use the highest grade copper wire for the windings that are installed using our computer controlled winding machines for optimum winding quality.

Due to the high quality materials and better production processes as well as a modified winding configuration this ESG221 stator generates less heat than the stock unit which dramatically improves reliability.

We use the best quality lead wires with insulation that is both very abrasion and heat resistant, and we install the rubber seals and connectors to be an exact fit in the bike.

ESG221 offers superior performance and reliability compared to the OEM stator and like all stators manufactured by ElectroSport it is also covered by a full one year warranty.",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1400,742,140,200,50,,,,,,https://api.mybihr.com/medias/800Wx800H-1078025-1.jpg?context=bWFzdGVyfHJvb3R8NjM4Nzd8aW1hZ2UvanBlZ3xhR05rTDJneVpTOHpNREkwTmpZMU5UVXlORGc1TkM4NE1EQlhlRGd3TUVoZk1UQTNPREF5TlMweExtcHdad3w2NDM4YmMzNmQ5NDg1MDBhMjViNmVhNjg3NmI0MTg0OWY2NzE1N2YxMDY0NWVlZTE1NDRlZGFjZGE5ZWE3ZDdi,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1078026,013111,ESG223,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Suzuki GSX-R1000,234.97,194.19,106.80,ESG223,0,9032890040,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>ElectroSport stators are designed to be direct replacements to original equipment</p><p> </p><ul> <li>Manufactured to handle higher power loads</li><li>Developed in the USA</li></ul> <p> </p><p>One of the best value for money</p></body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment  Manufactured to handle higher power loadsDeveloped in the USA  One of the best value for money ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1730,1163,203,142,60,,,,,,https://api.mybihr.com/medias/1078026-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQwOTQ1fGltYWdlL2pwZWd8YURCaEwyZzVNQzg0T1RjM01ESXdNekl4T0RJeUx6RXdOemd3TWpZdE1WODRNREJYZURnd01FZ3xlMTEwY2Y3ZmUwMDRkMjA4NDljMDRlOTZlMjA5OThlMWY4ODBjMTA3NjdkMWQzMTJjMTQ2OTU2MTg1ZGMwMTZj,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1078030,17368,ESG413,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Honda XR 350R/500R/600R,230.90,190.83,104.96,7998041553438,8,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1754,920,203,144,60,,,,,,https://api.mybihr.com/medias/800Wx800H-1078030-1.jpg?context=bWFzdGVyfHJvb3R8Njk5NjR8aW1hZ2UvanBlZ3xhRGRrTDJneE5pOHpNREkwTXpRMU5URXpPVGczTUM4NE1EQlhlRGd3TUVoZk1UQTNPREF6TUMweExtcHdad3w0YTA5OWQzYjUyOGMyMjYxNzM0ZjIxNGVmOWY4ZmExOGYzYmNiZmRkMGI2NTQ3YWY5YTczY2I5MDMzMzJmODMx,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1078034,011608,ESG434,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Yamha YFM,231.92,191.67,105.42,ESG434,0,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1562,1001,137,200,57,,,,,,https://api.mybihr.com/medias/1078034-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODU1NjZ8aW1hZ2UvanBlZ3xhRFkyTDJneE5DODRPVGMzTURJeE9EazBOamcyTHpFd056Z3dNelF0TVY4NE1EQlhlRGd3TUVnfDNjY2ZkNTA3MzM2NWQ3OTgyY2JlMWY4ZjUzMGMzMTFiODUwOWZmMTU3Mjk0MGJmZjVkNDJkZGUyNzY2MTFhMDc,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1078035,011609,ESG437,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Yamaha YFM,231.92,191.67,105.42,ESG437,2,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1685,1030,202,139,60,,,,,,https://api.mybihr.com/medias/1078035-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODE4OTZ8aW1hZ2UvanBlZ3xhREUxTDJnellTODRPVGMzTURJeU1Ea3hNamswTHpFd056Z3dNelV0TVY4NE1EQlhlRGd3TUVnfDFhYmJjM2YzNTk2NzE0M2IwOTEwZWM2YzQ4YjhhNjVhYjhhNTEwMTQwZjgyMWJlY2UwNjM4NTg1NGQ1N2YxNTA,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077966,17325,ESC1361,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Kawasaki,156.30,129.17,71.04,8430525173255,1,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1778,419,202,142,62,,,,,,https://api.mybihr.com/medias/1077966-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDMwMDd8aW1hZ2UvanBlZ3xhRFUxTDJoa1lTODRPVGMzTURBNE5USTFNelF5THpFd056YzVOall0TVY4NE1EQlhlRGd3TUVnfGZmY2IwMTQ4NjhiOWNiMDEzMzUwMDNlM2FkZjNkYTVmYzQyNDQ2MDAwNzllNjdlMzFjNTJkMGYxYTYzMDQ3ZTk,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077967,17326,ESC1366,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Kawasaki,156.30,129.17,71.04,799804154162,0,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1601,455,205,142,55,,,,,,https://api.mybihr.com/medias/1077967-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDMwODB8aW1hZ2UvanBlZ3xhRGcxTDJoa015ODRPVGMzTURBNE56SXhPVFV3THpFd056YzVOamN0TVY4NE1EQlhlRGd3TUVnfGYyOGQ3NzcyYmQ0NjdhYzBlOTFiNzAxYjBhMTE4OTE0ZThkMTdhZTJlZjMzNjQzMWM3ODFlYTBjOGFhOWZkYzQ,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077969,17327,ESC140,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Yamaha,113.85,94.09,51.75,799804154186,2,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,951,289,129,134,55,,,,,,https://api.mybihr.com/medias/1077969-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTB8aW1hZ2UvanBlZ3xhRFJpTDJnM1pTODRPVGMzTURBNU1URTFNVFkyTHpFd056YzVOamt0TVY4NE1EQlhlRGd3TUVnfDc1NWU4NWZmZWRmNGEwYWQzYjZlZTUzMjhjNTc0ZmI0MjYyOTA1NmI2MzZiNDFiMjRlN2FkMGIwMDI2MGYyNWU,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077971,011590,ESC221,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - KTM,192.58,159.16,87.54,ESC221,2,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1713,466,201,142,60,,,,,,https://api.mybihr.com/medias/800Wx800H-1077971-1.jpg?context=bWFzdGVyfHJvb3R8NzAxNDN8aW1hZ2UvanBlZ3xhR1V4TDJobU5DODROVEEwT0RBeE16SXlOakF4TkM4NE1EQlhlRGd3TUVoZk1UQTNOemszTVMweExtcHdad3w2ZDhiM2E5NTYyZDMwZmU2NzRmMWI3ZThkOWRkYjA1OGI0ZWQwOWE3ZDc5MmJiZDE2M2U1OWYxN2Q0ODE0MDEx,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077975,011592,ESC462,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Suzuki RM125/250,192.58,159.16,87.54,799804154339,2,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1721,517,202,142,60,,,,,,https://api.mybihr.com/medias/1077975-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIwMzd8aW1hZ2UvanBlZ3xhRGt3TDJnNVpDODRPVGMzTURFd01qazBPREUwTHpFd056YzVOelV0TVY4NE1EQlhlRGd3TUVnfDMwMmFiYzQzNTM2MWUzNzNkZjk5YWU0MjlhYTgwMmQxYzMxYzAxMjBiMWVmMWVhZjU2NGE1NGE3YWQ2ZjZkNWY,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077979,17341,ESG011,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Suzuki GS500F,192.58,159.16,87.54,799804154513,3,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1787,768,203,142,62,,,,,,https://api.mybihr.com/medias/1077979-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTgxMjd8aW1hZ2UvanBlZ3xhRGsxTDJobVppODRPVGMzTURFeE1EZ3hNalEyTHpFd056YzVOemt0TVY4NE1EQlhlRGd3TUVnfDI5Mjk2YjQyYmEwNjYyMTM4MDdmZGYyN2YxZjA5ODg3OTIwOWQ2MmExNTI5YzAwN2FmN2E5Mjc2MTg2YmFlNzE,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077982,013118,ESG020,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Suzuki GZ250,192.58,159.16,87.54,799804154568,2,9032890040,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>ElectroSport stators are designed to be direct replacements to original equipment</p><p> </p><ul> <li>Manufactured to handle higher power loads</li><li>Developed in the USA</li></ul> <p> </p><p>One of the best value for money</p></body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment  Manufactured to handle higher power loadsDeveloped in the USA  One of the best value for money ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,2004,1046,216,160,58,,,,,,https://api.mybihr.com/medias/800Wx800H-1077982-1.jpg?context=bWFzdGVyfHJvb3R8NDc4Nzl8aW1hZ2UvanBlZ3xhRE16TDJnM1l5ODROemt5TWprM01ETXlPVEV4T0M4NE1EQlhlRGd3TUVoZk1UQTNOems0TWkweExtcHdad3xhYjljNDgyMjdjZDYzNDRjNWYyYmU4ZjI5OWMzN2Q4MTFiZmU3YWUxN2IzYjYxYTVkZTdhZTBmNWQ5MmM2NmYy,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077986,17344,ESG035,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Suzuki GSX-R600/750/1000,227.88,188.33,103.58,799804154636,3,8511900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ElectroSport stators are designed to be direct replacements to original equipment </p><p> </p><ul> <li>Manufactured to handle higher power loads </li><li>Developed in the USA</li><li>One of the best value for money</li></ul> </body> </html>","       ElectroSport stators are designed to be direct replacements to original equipment   Manufactured to handle higher power loads Developed in the USAOne of the best value for money  ",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1597,1062,138,203,57,,,,,,https://api.mybihr.com/medias/1077986-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDkwMDZ8aW1hZ2UvanBlZ3xhRGN3TDJnNE9DODRPVGMzTURFeU5EVTNOVEF5THpFd056YzVPRFl0TVY4NE1EQlhlRGd3TUVnfDUzZmNiZGJjYmM3MzRmNTNkYjRhZTY0NDE3ZmQwYzU5OTRmZGY2NTg1MDZjYjkxOTdlN2JkMmZhMjg1NjdhOGU,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
1077990,17346,ESG070,ELECTROSPORT,ELECT STATOR,Estátor ELECTROSPORT - Yamaha XV1000 Virago,182.49,150.82,82.95,8430525173460,1,8511900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,944,1032,133,142,50,,,,,,https://api.mybihr.com/medias/1077990-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTIwMjB8aW1hZ2UvanBlZ3xhRGszTDJneU5TODRPVGMzTURFek1qUXpPVE0wTHpFd056YzVPVEF0TVY4NE1EQlhlRGd3TUVnfGRlYTYyYmY2MDZjMjYzYWJmZWYwYjg4ZGQ5NGY3ZGE3YmNlODA3MzE0ZjVlYWZjZDcxNzZkYWQ4MDIzYWQwODI,,https://static.bihr.pro/eBihr/Pictures/ELECTROSPORT-pictures.zip,,Spain Warehouse (Parts)
