PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de dientes,V-Cantidad de eslabones,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Anchura (mm),Anchura de la zona de sujeción (mm),Apertura (mm),Barra transversal,Bloqueo,Calidad,Color,Color de la cadena,Color del protector del manillar,Composición,Compuesto del puño,Desplazamiento (mm),Diámetro exterior del tubo de la horquilla (mm),Diámetro Ø (mm),Elevación de manillar (mm),Eslabón de conexión,Eslabones de cadena,Gama,Homologación,Inclinación,Longitud (mm),Longitud de control (mm),Material de la corona,Número de dientes de la corona,Número de dientes del piñón,Paso de cadena,Retenes,Tipo,Tipo de cadena RENTHAL,Tipo de corona,Tipo de piñón,Tipo de puño,Tipo de retén,Uso,Versión de corona,Versión de piñón,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,AllPicturesZIP,Document1,DeliveryPlant
1042005,42200272,CL060,RENTHAL,RENTH BAR MOUNT 36TECH BAR,Torretas Renthal Ø36 KTM / Husqvarna,95.95,79.30,51.55,502619014649,2,8714109090,0,1,<p><strong><u>Dimensions</u></strong></p><p>Dim A: 36mm</p><p>Dim B: 10mm</p><p>Dim C: 41mm</p><p>Dim D: 5mm</p>,"
Dimensions
Dim A: 36mm
Dim B: 10mm
Dim C: 41mm
Dim D: 5mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1390,395,288,142,34,,,,,,,,Negro,,,Aluminio,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042005-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhR05sTDJnNVl5OHpNek15TURNeU5qa3lNakkzTUM4NE1EQlhlRGd3TUVoZk1UQTBNakF3TlMweExtcHdad3wzMzAwNDAzMzAyYTVhYzZkYzhiMjg1NzFkYjEzYzRkOTM0Y2M4MDliYTY3ZGM2ODRiZDFiZDQ1OGM2ZDY3MTRk,https://api.mybihr.com/medias/1042005-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjczOTR8aW1hZ2UvanBlZ3xhRGcwTDJnNE9DODRPVGN3TVRrME1Ea3lNRFl5THpFd05ESXdNRFV0TWw4NE1EQlhlRGd3TUVnfDQ3YThmMjM3ODNmYWZhOTM1MmI1MWVlNWZkZTQ4NGZmNDMzNDQ0ODVkZGQ4OTc3Nzk1YmEyYmFhYTA5ZGZjOGM,https://api.mybihr.com/medias/1042005-3-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ2MDJ8aW1hZ2UvanBlZ3xhRFF4TDJnNFppODRPVGN3TVRrME1qZzROamN3THpFd05ESXdNRFV0TTE4NE1EQlhlRGd3TUVnfGNlM2U1MTY4YzEzYmM3ODcwMzcxZGU4MzU2NDM2MGQ3NjIyNmFiMzhmNGNhYTViMmU2ZmZlY2Y0Mzc0NjJkNzE,https://api.mybihr.com/medias/1042005-4-800Wx800H?context=bWFzdGVyfHJvb3R8NjcyNzB8aW1hZ2UvanBlZ3xhREV5TDJnNU5pODRPVGN3TVRrME5EZzFNamM0THpFd05ESXdNRFV0TkY4NE1EQlhlRGd3TUVnfGFmY2UxZjZmZjcxZjVlYjNhYWI0MTQxOGJkMmFjMDIxNzg0NGRiZTkxZTMzNDg3NjczMjAzZTA0MjMzOTVlYTM,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042006,42200270,CL061,RENTHAL,RENTH BAR MOUNT 36TECH BAR,Torretas Renthal Ø36 KTM/Husqvarna,95.95,79.30,51.55,5026190154342,3,8714109090,0,1,<p><strong><u>Dimensions</u></strong></p><p>Dim A: 36mm</p><p>Dim B: 10mm</p><p>Dim C: 41mm</p><p>Dim D: 0mm</p>,"
Dimensions
Dim A: 36mm
Dim B: 10mm
Dim C: 41mm
Dim D: 0mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1207,382,293,142,29,,,,,,,,Negro,,,Aluminio,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042006-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhRE0yTDJobFlpOHpNek15TURNeU56RXhPRGczT0M4NE1EQlhlRGd3TUVoZk1UQTBNakF3TmkweExtcHdad3wyYzA1MmY4MjJmODFlMzRkN2U0YjJjZjBkNzMyYTU2NTdiZmRmNGI4NWZiODZjNmM2YmNhZTgwYmI4M2EwMGRm,https://api.mybihr.com/medias/1042006-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ2MDJ8aW1hZ2UvanBlZ3xhRGxtTDJoaE15ODRPVGN3TVRrME9EYzRORGswTHpFd05ESXdNRFl0TWw4NE1EQlhlRGd3TUVnfDgxYjlmZTZiMzYxNjMwODQyNTBhY2U4YTAzZDUxNTZjNjAwZWQxYzBhOGZmYmM4NDRkZDQ4MjFkMzNiMmQyNGM,https://api.mybihr.com/medias/1042006-3-800Wx800H?context=bWFzdGVyfHJvb3R8NjczOTR8aW1hZ2UvanBlZ3xhREZpTDJobU1pODRPVGN3TVRrMU1EYzFNVEF5THpFd05ESXdNRFl0TTE4NE1EQlhlRGd3TUVnfGVjMmU0MTdmMWVlMGE2NDRlMjE2MjkxOTA2YTk2NWE1NjM1ZDQ0ZTVmN2Y0OWQ0ZjRhNDIyZDRjOWI4NDc4ZjA,https://api.mybihr.com/medias/1042006-4-800Wx800H?context=bWFzdGVyfHJvb3R8NjcyNzB8aW1hZ2UvanBlZ3xhR1ZpTDJobU9DODRPVGN3TVRrMU1qY3hOekV3THpFd05ESXdNRFl0TkY4NE1EQlhlRGd3TUVnfDU3MjhiNDhkNzFlYzM1NmZkNDU3MGMyZDExMzk0YzhlZWUzYjI0NmNmOTRkZTdjOTk5ODc1N2VmZjQwZWY4MzA,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042007,42200274,CL053,RENTHAL,RENTH BAR MOUNT 36TECH BAR,Torretas Renthal Ø36 offset 0MM,95.95,79.30,51.55,5026190156025,2,8714109090,0,1,<p><strong><u>Dimensions</u></strong></p><p>Dim A: 36mm</p><p>Dim B: 12mm</p><p>Dim C: 36mm</p><p>Dim D: 0mm</p><p>Dim E: 49mm</p><p>Dim F: 37mm</p>,"
Dimensions
Dim A: 36mm
Dim B: 12mm
Dim C: 36mm
Dim D: 0mm
Dim E: 49mm
Dim F: 37mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1112,442,290,142,27,,,,,,,,Negro,,,Aluminio,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042007-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhREEzTDJobU1pOHpNek15TURNeU56TXhOVFE0Tmk4NE1EQlhlRGd3TUVoZk1UQTBNakF3TnkweExtcHdad3xmM2ZhMmUwZjVlMjlmNjE0YTlmODFiOTkyMTdjNWY2ZjE3MTNmMjQyNDYyMzUxY2U1MDBmYjFmY2JkMTk0MGEx,https://api.mybihr.com/medias/1042007-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjcyNzB8aW1hZ2UvanBlZ3xhRGcyTDJobU9TODRPVGN3TVRrMU5qWTBPVEkyTHpFd05ESXdNRGN0TWw4NE1EQlhlRGd3TUVnfDA2NTYzMDU4Njc0YjAwYzIxMDQ4ODg4ZGUyZjVmMTJiY2FjYTI0NjU3OTQ0Zjc3YTViNzVmMjA0Y2NjZTA2MWQ,https://api.mybihr.com/medias/1042007-3-800Wx800H?context=bWFzdGVyfHJvb3R8NjczOTR8aW1hZ2UvanBlZ3xhR0kyTDJobU1pODRPVGN3TVRrMU9EWXhOVE0wTHpFd05ESXdNRGN0TTE4NE1EQlhlRGd3TUVnfDY4OGRiZTJmMTdkMjBlYjg0ZTQ4Y2MyOTFiNjBjZmYyMGQ5YTA4NDQxOGZlYjAwNDU1YTM3OWM5MTE1YzJjYjI,https://api.mybihr.com/medias/1042007-4-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ2MDJ8aW1hZ2UvanBlZ3xhRFJrTDJoaE5DODRPVGN3TVRrMk1EVTRNVFF5THpFd05ESXdNRGN0TkY4NE1EQlhlRGd3TUVnfGZhM2YyYTZjMjZhNGQ3ODhmNDhkMDk1MmY4Y2QwNzY4NjNiYzVkOTRlYWMxYTlmZjE2ZjgyNWE4Yjc1NTc0MmE,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042011,445215,CL019,RENTHAL,RENTH BAR MOUNT TWINWALL,Torretas Renthal para Kawasaki CL019,80.95,66.90,43.49,5026190108277,1,8714109090,0,1,<strong>A: </strong>28mm <br><strong>B: </strong>12mm <br><strong>C: </strong>32mm <br><strong>D: </strong>5mm <br><strong>E: </strong>38mm <br><strong>F: </strong>27mm,A: 28mm B: 12mm C: 32mm D: 5mm E: 38mm F: 27mm,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1211,424,290,144,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042011-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhRGxoTDJobU9TOHpNek15TURNeU56a3dOVE14TUM4NE1EQlhlRGd3TUVoZk1UQTBNakF4TVMweExtcHdad3wzYTg0NDUyZjBhNzhhN2E5ZmQ2ZDY0NzY5ZTc5MTBlYzQ4ZGY0MzA2ZGRiM2E5OGNjNzNkYjY4NGU3MzI3Y2Vi,,,,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042012,445042,CL002,RENTHAL,RENTH BAR MOUNT TWINWALL,Torretas Renthal para Honda CL002,80.95,66.90,43.49,5026190049082,0,8714109090,0,1,<strong>A: </strong>28mm <br><strong>B: </strong>12mm <br><strong>C: </strong>32mm <br><strong>D: </strong>0mm <br><strong>E: </strong>47mm <br><strong>F: </strong>34mm,A: 28mm B: 12mm C: 32mm D: 0mm E: 47mm F: 34mm,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1368,406,33,142,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042012-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhREZtTDJoaFlpOHpNek15TURNeU9ERXdNVGt4T0M4NE1EQlhlRGd3TUVoZk1UQTBNakF4TWkweExtcHdad3wwMmY0MzZjNGZmMDRiMjA4N2M4YWMzMzI4ZDhhZjVhYThkZDViNzYyMTk2Mjk2YTRjZDRlMGVlOGUxYjg2MTZh,,,,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042013,445043,CL003,RENTHAL,RENTH BAR MOUNT TWINWALL,Torretas Renthal para Husqvarna/Suzuki CL003,81.49,67.35,43.78,5026190058039,1,8714109090,0,1,<strong>A:</strong> 28mm <br><strong>B:</strong> 10mm <br><strong>C:</strong> 32mm <br><strong>D:</strong> 0mm <br><strong>E:</strong> 49mm <br><strong>F:</strong> 34mm,A: 28mm B: 10mm C: 32mm D: 0mm E: 49mm F: 34mm,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1368,404,33,142,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042013-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhR0l4TDJoaE5pOHpNek15TURNeU9ESTVPRFV5Tmk4NE1EQlhlRGd3TUVoZk1UQTBNakF4TXkweExtcHdad3w1MmFjM2IyMTM1ODIyZmY1MDY0YzNjM2U3M2UwODhkOTAwMzY2ZDBiYjBkNzJkNjM2NGYxZDlhZTNkYTM3Nzc5,,,,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042015,445142,CL015,RENTHAL,RENTH BAR MOUNT SCREW KIT,Tornilleria torretas de manillar Renthal 445043 M10X77MM CL015,32.45,26.82,17.43,5026190135617,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Renthal fixing bolts for bar mounts. The bolts are hardened and treated against corrosion.</p></body> </html>","       Renthal fixing bolts for bar mounts. The bolts are hardened and treated against corrosion. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1210,170,288,140,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1042015-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTczMzh8aW1hZ2UvanBlZ3xhREl4TDJnMFlTODRPVGN3TVRrNE9ERXdOalUwTHpFd05ESXdNVFV0TVY4NE1EQlhlRGd3TUVnfGZkOWMwYTJmZThkZGMzMDdiOGM3MmM2MDVhZTlkZjJmMzIxODExMmQ1MmE5ZGQ4MmNhY2QxYjY3ZDBhM2Q1NjU,,,,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042016,445141,CL014,RENTHAL,RENTH BAR MOUNT SCREW KIT,Tornilleria torretas de manillar Renthal 445041 445042 M12X77MM CL014,32.98,27.26,17.72,5026190123737,3,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Renthal fixing bolts for bar mounts. The bolts are hardened and treated against corrosion.</p></body> </html>","       Renthal fixing bolts for bar mounts. The bolts are hardened and treated against corrosion. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1210,210,288,140,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1042016-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTczMzh8aW1hZ2UvanBlZ3xhRGhoTDJnNU9DODRPVGN3TVRrNU1EQTNNall5THpFd05ESXdNVFl0TVY4NE1EQlhlRGd3TUVnfDFmNThlNGQxOTliYzdlZTgwOGQ1OWIwNTRiNWQxOWRlZDlkMTg1NzQ1Yzk5OTRmMDUzYjM4ZTJjZDA0MmJlYWU,,,,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042004,42200275,CL052,RENTHAL,RENTH BAR MOUNT 36TECH BAR,Torretas Renthal Ø36 offset 0MM,95.95,79.30,51.55,765442156011,1,8714109090,0,1,<p><strong><u>Dimensions</u></strong></p><p>Dim A: 36mm</p><p>Dim B: 12mm</p><p>Dim C: 36mm</p><p>Dim D: 0mm</p><p>Dim E: 47mm</p><p>Dim F: 37mm</p>,"
Dimensions
Dim A: 36mm
Dim B: 12mm
Dim C: 36mm
Dim D: 0mm
Dim E: 47mm
Dim F: 37mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1181,455,140,291,29,,,,,,,,Negro,,,Aluminio,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042004-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhR1prTDJnNU5TOHpNek15TURNeU5qY3lOVFkyTWk4NE1EQlhlRGd3TUVoZk1UQTBNakF3TkMweExtcHdad3wxMWI0YWQ1MzdjZDQ4Zjk3OTMwYmU1ZWRmNTIxY2MxZjc1YmI4YzIwYzQxZWRjYjhlMzc5ZDk4ODI0OTBlNTIy,https://api.mybihr.com/medias/1042004-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjczOTR8aW1hZ2UvanBlZ3xhR1poTDJneU55ODRPVGN3TVRrek16QTFOak13THpFd05ESXdNRFF0TWw4NE1EQlhlRGd3TUVnfDk3NjU1M2YwZDllY2QyNGVmNmM3ZGE3OGQ2ZWJjMzVkYzhjMTY2ZWFkZjFlODNkODBkZDUyYmI0YTg4ZWY0ODM,https://api.mybihr.com/medias/1042004-3-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ2MDJ8aW1hZ2UvanBlZ3xhR05pTDJneVpTODRPVGN3TVRrek5UQXlNak00THpFd05ESXdNRFF0TTE4NE1EQlhlRGd3TUVnfGQxNWI0MGFiY2EyY2YyM2IwODQ0YTNmMmIxNjI2Y2VkM2UzNDdkMmFmODM5NGE5NjNlZTAwNmNkZTE2ZWJlNGE,https://api.mybihr.com/medias/1042004-4-800Wx800H?context=bWFzdGVyfHJvb3R8NjcyNzB8aW1hZ2UvanBlZ3xhRE00TDJnek15ODRPVGN3TVRrek5qazRPRFEyTHpFd05ESXdNRFF0TkY4NE1EQlhlRGd3TUVnfGU0MjlkNGRmNDI1MGNiOTRiZDVhY2ViY2E5YWRiYWUwNmZiYzcxYTMxNTQ3YzAwYjhkZWUwNjg3Y2ZkMTcxNmY,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042008,42200273,CL051,RENTHAL,RENTH BAR MOUNT 36TECH BAR,Torretas Renthal Ø36 offset 5MM,95.95,79.30,51.55,765442156004,2,8714109090,0,1,<p><strong><u>Dimensions</u></strong></p><p>Dim A: 36mm</p><p>Dim B: 12mm</p><p>Dim C: 36mm</p><p>Dim D: 5mm</p><p>Dim E: 47mm</p><p>Dim F: 37mm</p>,"
Dimensions
Dim A: 36mm
Dim B: 12mm
Dim C: 36mm
Dim D: 5mm
Dim E: 47mm
Dim F: 37mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,909,485,291,142,22,,,,,,,,Negro,,,Aluminio,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042008-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhR1EzTDJobU9DOHpNek15TURNeU56VXhNakE1TkM4NE1EQlhlRGd3TUVoZk1UQTBNakF3T0MweExtcHdad3w4N2JkYjM2MjFmOGE3OWYyZTBlM2Q0ODA0YjFhN2MzODAzOWI5YjI4OWM5NjE1NmQ1Nzc0ZDJlNWU3Y2ZkZDkw,https://api.mybihr.com/medias/1042008-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjczOTR8aW1hZ2UvanBlZ3xhR0ZqTDJnNU5pODRPVGN3TVRrMk5EVXhNelU0THpFd05ESXdNRGd0TWw4NE1EQlhlRGd3TUVnfGFhYTRjZjJlMTM1NWVlNzk2OGY2ZWQzNzcwYWI3Y2YwNDY2ZWFkMDY2NmI3ZWNjNGY5MjMzOTk2ZGIzZTdmZjU,https://api.mybihr.com/medias/1042008-3-800Wx800H?context=bWFzdGVyfHJvb3R8NjcyNzB8aW1hZ2UvanBlZ3xhR1l3TDJnNFppODRPVGN3TVRrMk5qUTNPVFkyTHpFd05ESXdNRGd0TTE4NE1EQlhlRGd3TUVnfDZhMWU4NjczODg0MzFkZjBkZTY1ZjFkMDM4YzM0MGE3MTQ2YzZhM2MzNzQ4YjFmNjlhM2VkZTdmMWY1N2MzMmY,https://api.mybihr.com/medias/1042008-4-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ2MDJ8aW1hZ2UvanBlZ3xhREZtTDJnNE9TODRPVGN3TVRrMk9EUTBOVGMwTHpFd05ESXdNRGd0TkY4NE1EQlhlRGd3TUVnfDJhZGM2NjAyN2FkN2UyMjhmMzllNzQzZDk0Yzk2YzA2ZmYwMmYzODdlYzg2NjBiOWJiOTBkMmZjNTdjNDBiNDM,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042009,42200271,CL059,RENTHAL,RENTH BAR MOUNT 36TECH BAR,Torretas Renthal Ø36 YZ 250/125,95.95,79.30,51.55,5026190155417,5,8714109090,0,1,<p><strong><u>Dimensions</u></strong></p><p>Dim A: 36mm</p><p>Dim B: 12mm</p><p>Dim C: 36mm</p><p>Dim D: 5mm</p><p>Dim E: 38mm</p><p>Dim F: 30mm</p>,"
Dimensions
Dim A: 36mm
Dim B: 12mm
Dim C: 36mm
Dim D: 5mm
Dim E: 38mm
Dim F: 30mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1190,468,289,142,29,,,,,,,,Negro,,,Aluminio,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042009-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhREV4TDJnNU9TOHpNek15TURNeU9EWTVNVGMwTWk4NE1EQlhlRGd3TUVoZk1UQTBNakF3T1MweExtcHdad3wxNWM4MmEzNzg4MDA3ODQ5NmU3MTYyMmMyNjQzZjk5NWIzMzdlZTdlZDMyNTJkNWYyNGY2MjFkOGQwMmZjOTVm,https://api.mybihr.com/medias/1042009-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ2MDJ8aW1hZ2UvanBlZ3xhR1UyTDJnek15ODRPVGN3TVRrM01qTTNOemt3THpFd05ESXdNRGt0TWw4NE1EQlhlRGd3TUVnfDNmNTUyOTc0ZWRkNDU2ZDVlMGQ5YmE4NmFiNzhkY2I2ODMzODE4ZjE2MjA3OGZkYzRhZDEyMTYyOTViNWIzYTk,https://api.mybihr.com/medias/1042009-3-800Wx800H?context=bWFzdGVyfHJvb3R8NjczOTR8aW1hZ2UvanBlZ3xhREUyTDJneVpDODRPVGN3TVRrM05ETTBNems0THpFd05ESXdNRGt0TTE4NE1EQlhlRGd3TUVnfGYxNzVlZmNkZmM5MTkxMTJhOTE5NjU4MjVjZGNmNzNjYzcxNzI3MzcxZGFiNTc2M2JlOTg4NjdhMTFhZTgwNDI,https://api.mybihr.com/medias/1042009-4-800Wx800H?context=bWFzdGVyfHJvb3R8NjcyNzB8aW1hZ2UvanBlZ3xhRFExTDJneU5pODRPVGN3TVRrM05qTXhNREEyTHpFd05ESXdNRGt0TkY4NE1EQlhlRGd3TUVnfDcwOTgzM2I2YmUzYzFmMDRjMWNkOTZjZmEwOGU0ODc2MWFmYWI2OTNjNTEwY2Y5MTBjMzVmYzZiOGY4OWVhOTc,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042010,445041,CL001,RENTHAL,RENTH BAR MOUNT TWINWALL,Torretas Renthal para Honda/Kawasaki CL001,80.95,66.90,43.49,5026190049075,0,8714109090,0,1,<strong>A: </strong>28mm <br><strong>B: </strong>12mm <br><strong>C: </strong>32mm <br><strong>D: </strong>5mm <br><strong>E: </strong>47mm <br><strong>F: </strong>34mm,A: 28mm B: 12mm C: 32mm D: 5mm E: 47mm F: 34mm,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1210,440,288,140,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042010-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhRGswTDJobVppOHpNek15TURNeU56Y3dPRGN3TWk4NE1EQlhlRGd3TUVoZk1UQTBNakF4TUMweExtcHdad3w1NDBhNWI5YzYwZDlmNmYzZDU0MzJlZDM4Yjc3YjdhZjI0NzkyMjUwM2E0M2Q4OGEyYjljYmRhZjY1MjQ4NWQz,,,,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042014,445044,CL018,RENTHAL,RENTH BAR MOUNT TWINWALL,Torretas Renthal para Yamaha CL018,81.49,67.35,43.78,5026190083390,0,8714109090,0,1,<strong>A:</strong> 28mm <br><strong>B:</strong> 12mm <br><strong>C:</strong> 38mm <br><strong>D:</strong> 5mm <br><strong>E:</strong> 32mm <br><strong>F:</strong> 21mm,A: 28mm B: 12mm C: 38mm D: 5mm E: 32mm F: 21mm,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1656,442,292,189,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042014-1.jpg?context=bWFzdGVyfHJvb3R8MzM3MjR8aW1hZ2UvanBlZ3xhR1V4TDJnNVppOHpNek15TURNeU9EUTVOVEV6TkM4NE1EQlhlRGd3TUVoZk1UQTBNakF4TkMweExtcHdad3w2ZmE0YjZhNGU2OWY3NTZmMmI5MzU3OGU2MGVjYTAzNGZiNmQ4NTA0NDJlN2Q1NmQ0Yzg2NTFlOWFjYjU2ODI2,,,,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
1042017,445244,CL020,RENTHAL,RENTH BOLT KIT,Tornilleria torretas de manillar Renthal 445215 M12X68MM CL020,32.45,26.82,17.43,5026190112762,0,8714109090,0,1,"The Renthal mounts are designed to receive the brand's Fatbar and Twinwall handlebars, and can be mounted on the original attachments.","The Renthal mounts are designed to receive the brand's Fatbar and Twinwall handlebars, and can be mounted on the original attachments.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,1240,185,291,142,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1042017-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTkxMDJ8aW1hZ2UvanBlZ3xhRFZoTDJnNVppODRPVGN3TVRrNU1qQXpPRGN3THpFd05ESXdNVGN0TVY4NE1EQlhlRGd3TUVnfDhmYzliZTAwMDBhZWM5M2E4NmY4YWYwMGQ0NDRlN2EwZGM3MThkYjcwMzBhOTIwMjg5OTM3YjBjYWYyNmVjOTc,,,,,,,https://static.bihr.pro/eBihr/Pictures/RENTHAL-pictures.zip,,Spain Warehouse (Parts)
