VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
032.152.01.2022,1101252,8430525155541,VP-C01,,,
032.152.01.2023,1101252,8430525155541,VP-C01,,,
926.082.02.2023,1101224,15499,TB-1947,,,
105.356.01.2023,1101224,15499,TB-1947,,,
105.356.01.2024,1101224,15499,TB-1947,,,
105.356.02.2023,1101224,15499,TB-1947,,,
105.356.02.2024,1101224,15499,TB-1947,,,
105.354.01.2024,1101224,15499,TB-1947,,,
926.081.01.2024,1101224,15499,TB-1947,,,
926.081.02.2022,1101224,15499,TB-1947,,,
926.081.02.2023,1101224,15499,TB-1947,,,
926.082.01.2022,1101224,15499,TB-1947,,,
926.082.01.2023,1101224,15499,TB-1947,,,
926.082.02.2022,1101224,15499,TB-1947,,,
105.354.01.2023,1101224,15499,TB-1947,,,
926.080.01.2022,1101224,15499,TB-1947,,,
926.080.01.2023,1101224,15499,TB-1947,,,
926.080.02.2022,1101224,15499,TB-1947,,,
926.080.02.2023,1101224,15499,TB-1947,,,
926.081.01.2023,1101224,15499,TB-1947,,,
041.105.02.2023,1101224,15499,TB-1947,,,
041.105.02.2024,1101224,15499,TB-1947,,,
041.106.01.2023,1101224,15499,TB-1947,,,
041.106.01.2024,1101224,15499,TB-1947,,,
041.106.02.2023,1101224,15499,TB-1947,,,
041.106.02.2024,1101224,15499,TB-1947,,,
032.152.02.2022,1101224,15499,TB-1947,,,
032.152.02.2023,1101224,15499,TB-1947,,,
032.152.03.2023,1101224,15499,TB-1947,,,
032.152.03.2024,1101224,15499,TB-1947,,,
041.105.01.2023,1101224,15499,TB-1947,,,
041.105.01.2024,1101224,15499,TB-1947,,,
105.356.01.2023,1102439,E35,PT93273,,,
105.356.01.2024,1102439,E35,PT93273,,,
105.356.02.2023,1102439,E35,PT93273,,,
105.356.02.2024,1102439,E35,PT93273,,,
032.152.01.2022,1101224,15499,TB-1947,,,
032.152.01.2023,1101224,15499,TB-1947,,,
105.356.01.2023,1101729,8430525003934,HF-878,,,
105.356.01.2024,1101729,8430525003934,HF-878,,,
105.356.02.2023,1101729,8430525003934,HF-878,,,
105.356.02.2024,1101729,8430525003934,HF-878,,,
105.354.01.2023,1101715,8430525005365,TY-513-150,,,
105.354.01.2024,1101715,8430525005365,TY-513-150,,,
105.356.01.2023,1101699,8430525086579,DX-2002B,,,
105.356.01.2024,1101699,8430525086579,DX-2002B,,,
105.356.02.2023,1101699,8430525086579,DX-2002B,,,
105.356.02.2024,1101699,8430525086579,DX-2002B,,,
926.082.01.2022,1101709,8430525092723,9272,,,
926.082.01.2023,1101709,8430525092723,9272,,,
041.106.01.2024,1101631,8430525034686,YWS-306A-B,,,
041.106.02.2023,1101631,8430525034686,YWS-306A-B,,,
041.106.02.2024,1101631,8430525034686,YWS-306A-B,,,
105.354.01.2024,1101631,8430525034686,YWS-306A-B,,,
105.354.01.2023,1101688,8430525085909,TY-523+BK001,,,
105.354.01.2024,1101688,8430525085909,TY-523+BK001,,,
926.082.02.2023,1101631,8430525034686,YWS-306A-B,,,
041.105.01.2023,1101631,8430525034686,YWS-306A-B,,,
041.105.01.2024,1101631,8430525034686,YWS-306A-B,,,
041.105.02.2023,1101631,8430525034686,YWS-306A-B,,,
041.105.02.2024,1101631,8430525034686,YWS-306A-B,,,
041.106.01.2023,1101631,8430525034686,YWS-306A-B,,,
926.081.01.2024,1101631,8430525034686,YWS-306A-B,,,
926.081.02.2022,1101631,8430525034686,YWS-306A-B,,,
926.081.02.2023,1101631,8430525034686,YWS-306A-B,,,
926.082.01.2022,1101631,8430525034686,YWS-306A-B,,,
926.082.01.2023,1101631,8430525034686,YWS-306A-B,,,
926.082.02.2022,1101631,8430525034686,YWS-306A-B,,,
032.152.02.2023,1101631,8430525034686,YWS-306A-B,,,
926.080.01.2022,1101631,8430525034686,YWS-306A-B,,,
926.080.01.2023,1101631,8430525034686,YWS-306A-B,,,
926.080.02.2022,1101631,8430525034686,YWS-306A-B,,,
